episode,step,reward
20,11,0.090445
20,12,0.168305
20,13,0.086142
20,14,0.147811
20,15,0.018954
21,1,0.140658
21,2,0.128457
21,3,0.043539
21,4,0.242798
21,5,0.146016
21,6,0.014025
21,7,0.193474
21,8,0.056955
21,9,0.150434
21,10,0.056799
21,11,0.165226
21,12,0.030027
21,13,0.058233
21,14,0.057035
21,15,0.074178
22,1,0.112147
22,2,0.147493
22,3,0.126867
22,4,0.079977
22,5,0.062910
22,6,0.092595
22,7,0.180043
22,8,0.067442
22,9,0.178987
22,10,0.094577
22,11,0.106620
22,12,0.140153
22,13,0.128840
22,14,0.086735
22,15,0.060777
23,1,0.072631
23,2,0.103847
23,3,0.015379
23,4,0.010059
23,5,0.137905
23,6,0.072631
23,7,0.084841
23,8,0.058233
23,9,0.043252
23,10,0.079846
23,11,0.118170
23,12,0.193264
23,13,0.216098
23,14,0.179540
23,15,0.084004
24,1,0.045863
24,2,0.074751
24,3,0.103560
24,4,0.166050
24,5,0.124680
24,6,0.060757
24,7,0.007528
24,8,0.140658
24,9,0.073758
24,10,0.069900
24,11,0.051465
24,12,0.056789
24,13,0.058607
24,14,0.161555
24,15,0.144595
25,1,0.014025
25,2,0.116367
25,3,0.073773
25,4,0.017209
25,5,0.075974
25,6,0.197447
25,7,0.160857
25,8,0.086676
25,9,0.107965
25,10,0.145407
25,11,0.090757
25,12,0.036386
25,13,0.057488
25,14,0.053766
25,15,0.198039
26,1,0.060682
26,2,0.086584
26,3,0.029977
26,4,0.057794
26,5,0.018745
26,6,0.031838
26,7,0.082691
26,8,0.057358
26,9,0.087590
26,10,0.093628
26,11,0.056789
26,12,0.157195
26,13,0.128754
26,14,0.049142
26,15,0.047297
27,1,0.072631
27,2,0.136731
27,3,0.082665
27,4,0.153873
27,5,0.114333
27,6,0.225319
27,7,0.068949
27,8,0.202073
27,9,0.123928
27,10,0.103787
27,11,0.148185
27,12,0.033806
27,13,0.095904
27,14,0.071356
27,15,0.067654
28,1,0.098404
28,2,0.060682
28,3,0.082455
28,4,0.012768
28,5,0.078480
28,6,0.106571
28,7,0.087851
28,8,0.149795
28,9,0.104573
28,10,0.141915
28,11,0.151202
28,12,0.053828
28,13,0.024084
28,14,0.131959
28,15,0.091200
29,1,0.058607
29,2,0.100651
29,3,0.145197
29,4,0.058288
29,5,0.162139
29,6,0.147413
29,7,0.072826
29,8,0.119065
29,9,0.066145
29,10,0.030845
29,11,0.119364
29,12,0.120182
29,13,0.106457
29,14,0.095003
29,15,0.114061
30,1,0.118170
30,2,0.087593
30,3,0.013417
30,4,0.024725
30,5,0.112455
30,6,0.155832
30,7,0.128236
30,8,0.049037
30,9,0.130248
30,10,0.012684
30,11,0.083229
30,12,0.098123
30,13,0.143929
30,14,0.058751
30,15,0.078087
31,1,0.099043
31,2,0.051465
31,3,0.101289
31,4,0.141017
31,5,0.093393
31,6,0.060757
31,7,0.045863
31,8,0.068293
31,9,0.100029
31,10,0.109896
31,11,0.118170
31,12,0.041615
31,13,0.014178
31,14,0.077956
31,15,0.144005
32,1,0.169635
32,2,0.147795
32,3,0.127836
32,4,0.052479
32,5,0.014178
32,6,0.165226
32,7,0.078352
32,8,0.086367
32,9,0.032744
32,10,0.030890
32,11,0.056789
32,12,0.108336
32,13,0.143274
32,14,0.057581
32,15,0.017813
33,1,0.164637
33,2,0.098770
33,3,0.112813
33,4,0.055455
33,5,0.029191
33,6,0.163360
33,7,0.128236
33,8,0.086786
33,9,0.096504
33,10,0.011849
33,11,0.160417
33,12,0.156805
33,13,0.211275
33,14,0.093519
33,15,0.036386
34,1,0.155832
