episode,episodic_reward
455,1.722679
456,1.664972
457,1.501280
458,1.534458
459,1.449222
460,1.511480
461,1.540841
462,1.576758
463,1.548236
464,1.509103
465,1.443560
466,1.532241
467,1.519472
468,1.581288
469,1.511900
470,1.633566
471,1.540634
472,1.693646
473,1.621032
474,1.530546
475,1.522548
476,1.511797
477,1.594264
478,1.434275
479,1.460178
480,1.508842
481,1.492384
482,1.571232
483,1.548127
484,1.609099
485,1.444987
486,1.484673
487,1.623660
488,1.454040
489,1.573954
490,1.748593
491,1.465884
492,1.545200
493,1.683756
494,1.563481
495,1.696225
496,1.497178
497,1.640306
498,1.294622
499,1.604899
500,1.483395
501,1.570760
502,1.485924
503,1.483224
504,1.729139
505,1.377494
506,1.374499
507,1.724682
508,1.646759
509,1.438939
510,1.559894
511,1.604349
512,1.587683
513,1.606914
514,1.581326
515,1.667095
516,1.430578
517,1.582514
518,1.628634
519,1.549786
520,1.709628
521,1.535518
522,1.608347
523,1.493049
524,1.538924
525,1.580264
526,1.500754
527,1.667367
528,1.481552
529,1.518704
530,1.673953
531,1.581103
532,1.548593
533,1.541743
534,1.378110
535,1.422577
536,1.536943
537,1.671927
538,1.636085
539,1.616176
540,1.551736
541,1.514914
542,1.509535
543,1.592606
544,1.643765
545,1.683946
546,1.636072
547,1.571781
548,1.618664
549,1.606241
550,1.509199
551,1.688047
552,1.567608
553,1.547877
554,1.598712
555,1.490316
556,1.489991
557,1.637583
558,1.557853
559,1.436696
560,1.683322
561,1.545341
562,1.577648
563,1.573192
564,1.612433
565,1.476391
566,1.742954
567,1.645465
568,1.545370
569,1.484797
570,1.500759
571,1.595440
572,1.786884
573,1.277845
574,1.488050
575,1.524378
576,1.537561
577,1.608157
578,1.594513
579,1.580462
580,1.583258
581,1.596706
582,1.781560
583,1.712332
584,1.518302
585,1.482561
586,1.520672
587,1.648870
588,1.536326
589,1.569710
590,1.516189
591,1.531062
592,1.577151
593,1.406736
594,1.620300
595,1.526238
596,1.563451
597,1.418756
598,1.377189
599,1.605153
600,1.727144
601,1.686258
602,1.369026
603,1.461149
604,1.423458
605,1.471373
606,1.545666
607,1.552049
608,1.684145
609,1.377397
610,1.769656
611,1.716938
612,1.476070
613,1.612599
614,1.680383
615,1.735262
616,1.463422
617,1.464324
618,1.418366
619,1.385138
620,1.482970
621,1.439918
622,1.546283
623,1.403638
624,1.573789
625,1.642561
626,1.665640
627,1.500155
628,1.492623
629,1.537345
630,1.647693
631,1.463068
632,1.584976
633,1.583249
634,1.636299
635,1.596564
636,1.699110
637,1.412452
638,1.634161
639,1.607950
640,1.763540
641,1.589851
642,1.589220
643,1.554315
644,1.625950
645,1.490942
646,1.586528
