request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.010900,0.020000,36.887939,54.028351
1,d,0.002385,0.013600,0.018500,44.699219,34.485393
2,d,0.002385,0.020750,0.018500,51.969238,41.635393
3,p,0.003780,0.040200,0.021500,71.018799,65.479849
4,d,0.002385,0.086500,0.022000,80.857178,110.885393
5,d,0.002385,0.003900,0.020000,16.284424,26.285393
6,d,0.002385,0.009850,0.018500,25.459717,30.735393
7,p,0.003780,0.048550,0.022000,45.734375,74.329849
8,d,0.002385,0.004050,0.018500,55.808105,24.935393
9,d,0.002385,0.015150,0.018500,63.296143,36.035393
10,d,0.002385,0.008150,0.021500,7.996338,32.035393
11,d,0.002385,0.011650,0.018500,15.663330,32.535393
12,s,0.023128,0.100850,0.019200,23.249756,143.178351
13,p,0.003780,0.059500,0.021500,42.683594,84.779849
14,d,0.002385,0.010150,0.022000,52.664307,34.535393
15,p,0.003780,0.004950,0.022000,35.224365,30.729849
16,d,0.002385,0.012650,0.020000,44.889160,35.035393
17,s,0.023128,0.071200,0.018500,51.710938,112.828351
18,d,0.002385,0.086200,0.022000,58.821289,110.585393
19,d,0.002385,0.089000,0.018500,65.941406,109.885393
20,p,0.003780,0.004300,0.022000,35.157959,30.079849
21,d,0.002385,0.007850,0.021500,44.750488,31.735393
22,s,0.023128,0.106800,0.021500,51.608398,151.428351
23,d,0.002385,0.036100,0.020000,58.653564,58.485393
24,p,0.003780,0.061700,0.018500,77.194824,83.979849
25,s,0.023128,0.006150,0.018500,10.175293,47.778351
26,p,0.003780,0.008400,0.020000,28.610840,32.179849
27,s,0.023128,0.018750,0.018500,37.938721,60.378351
28,p,0.003780,0.052750,0.020000,56.206055,76.529849
29,p,0.003780,0.005900,0.020000,76.752930,29.679849
30,p,0.003780,0.008250,0.022000,28.888672,34.029849
31,s,0.023128,0.011450,0.019200,38.305176,53.778351
32,p,0.003780,0.089600,0.022000,57.370117,115.379849
33,p,0.003780,0.127700,0.019200,78.886719,150.679849
34,d,0.002385,0.004550,0.020000,88.702637,26.935393
40,d,0.002385,0.005050,0.019200,6.665039,26.635393
41,s,0.023128,0.008600,0.021500,13.775635,53.228351
42,p,0.003780,0.018300,0.022000,32.119385,44.079849
43,s,0.023128,0.007350,0.022000,41.252686,52.478351
44,p,0.003780,0.072450,0.019200,59.573486,95.429849
45,s,0.023128,0.007250,0.018500,22.763184,48.878351
46,d,0.002385,0.007750,0.020000,30.989990,30.135393
47,d,0.002385,0.095050,0.021500,38.974365,118.935393
48,s,0.023128,0.043650,0.020000,46.729492,86.778351
49,p,0.003780,0.057750,0.019200,66.795654,80.729849
35,s,0.023128,0.004500,0.018500,22.275879,46.128351
36,p,0.003780,0.006200,0.022000,42.013184,31.979849
37,p,0.003780,0.030050,0.021500,62.839844,55.329849
38,d,0.002385,0.014900,0.018500,72.471680,35.785393
39,s,0.023128,0.004150,0.019200,79.564941,46.478351
50,p,0.003780,0.012050,0.020000,32.741943,35.829849
51,s,0.023128,0.014350,0.019200,41.921875,56.678351
52,s,0.023128,0.066350,0.019200,48.941162,108.678351
53,d,0.002385,0.065150,0.018500,56.471191,86.035393
54,s,0.023128,0.106900,0.021500,63.834229,151.528351
55,p,0.003780,0.005100,0.022000,38.139648,30.879849
56,p,0.003780,0.031450,0.020000,59.070068,55.229849
57,p,0.003780,0.067400,0.022000,79.830322,93.179849
58,d,0.002385,0.004750,0.018500,89.561035,25.635393
59,d,0.002385,0.103650,0.018500,97.101807,124.535393
60,s,0.023128,0.005100,0.020000,8.108643,48.228351
61,s,0.023128,0.011950,0.019200,15.655762,54.278351
62,p,0.003780,0.106800,0.020000,34.579102,130.579849
63,s,0.023128,0.032250,0.019200,43.983154,74.578351
64,s,0.023128,0.101300,0.020000,51.304688,144.428351
65,d,0.002385,0.004500,0.021500,10.841553,28.385393
66,p,0.003780,0.007600,0.020000,32.686768,31.379849
67,p,0.003780,0.008800,0.019200,53.582275,31.779849
68,d,0.002385,0.004150,0.022000,63.164551,28.535393
69,p,0.003780,0.007850,0.018500,81.594238,30.129849
70,d,0.002385,0.004900,0.020000,9.940430,27.285393
71,p,0.003780,0.012050,0.022000,28.733887,37.829849
72,s,0.023128,0.092450,0.021500,38.097656,137.078351
73,p,0.003780,0.004550,0.021500,56.362305,29.829849
74,d,0.002385,0.121450,0.020000,65.745605,143.835393
75,s,0.023128,0.004700,0.019200,21.558594,47.028351
76,s,0.023128,0.025150,0.020000,29.089111,68.278351
77,d,0.002385,0.114500,0.021500,36.431641,138.385393
78,d,0.002385,0.080000,0.020000,43.624023,102.385393
79,s,0.023128,0.127850,0.022000,50.588623,172.978351
85,p,0.003780,0.005200,0.021500,41.458252,30.479849
86,p,0.003780,0.033200,0.019200,61.771240,56.179849
87,s,0.023128,0.027650,0.021500,72.120361,72.278351
88,d,0.002385,0.004850,0.020000,79.578857,27.235393
89,d,0.002385,0.059400,0.022000,86.702393,83.785393
80,d,0.002385,0.005750,0.022000,7.907471,30.135393
81,d,0.002385,0.014300,0.019200,16.014893,35.885393
82,s,0.023128,0.011100,0.021500,23.646973,55.728351
83,d,0.002385,0.032700,0.018500,31.156006,53.585393
84,s,0.023128,0.073150,0.021500,38.241943,117.778351
90,d,0.002385,0.007300,0.020000,8.670654,29.685393
91,d,0.002385,0.009300,0.020000,16.136475,31.685393
92,d,0.002385,0.070250,0.022000,23.487549,94.635393
93,d,0.002385,0.024150,0.018500,30.699463,45.035393
94,s,0.023128,0.089300,0.018500,37.869385,130.928351
95,d,0.002385,0.006050,0.022000,21.836914,30.435393
96,p,0.003780,0.021000,0.021500,40.688232,46.279849
97,d,0.002385,0.024100,0.021500,50.232666,47.985393
98,s,0.023128,0.083300,0.020000,57.570312,126.428351
99,s,0.023128,0.004400,0.020000,64.485107,47.528351
100,d,0.002385,0.007100,0.019200,6.547852,28.685393
101,s,0.023128,0.014850,0.021500,13.540039,59.478351
102,s,0.023128,0.092300,0.021500,20.768066,136.928351
103,s,0.023128,0.056550,0.018500,27.530273,98.178351
104,s,0.023128,0.077050,0.020000,34.375977,120.178351
110,d,0.002385,0.005300,0.019200,6.926025,26.885393
111,s,0.023128,0.006950,0.022000,14.020508,52.078351
112,p,0.003780,0.024800,0.021500,32.831055,50.079849
113,s,0.023128,0.005000,0.022000,42.091309,50.128351
114,s,0.023128,0.087250,0.020000,48.979248,130.378351
105,p,0.003780,0.008400,0.019200,23.324219,31.379849
106,p,0.003780,0.008150,0.018500,46.863770,30.429849
107,d,0.002385,0.026150,0.021500,57.569336,50.035393
108,d,0.002385,0.004950,0.020000,65.403320,27.335393
109,s,0.023128,0.109500,0.018500,72.757568,151.128351
115,p,0.003780,0.005000,0.018500,19.052490,27.279849
116,s,0.023128,0.013050,0.021500,28.276367,57.678351
117,d,0.002385,0.022800,0.018500,35.408447,43.685393
118,s,0.023128,0.030300,0.019200,42.235596,72.628351
119,s,0.023128,0.060150,0.018500,49.322754,101.778351
120,s,0.023128,0.004450,0.019200,6.708984,46.778351
121,d,0.002385,0.013100,0.022000,14.071045,37.485393
122,p,0.003780,0.026300,0.018500,33.370850,48.579849
123,p,0.003780,0.065150,0.022000,54.772217,90.929849
124,s,0.023128,0.004450,0.021500,64.015625,49.078351
125,p,0.003780,0.004450,0.018500,34.660156,26.729849
126,s,0.023128,0.011900,0.019200,43.761719,54.228351
127,d,0.002385,0.039350,0.019200,50.945801,60.935393
128,d,0.002385,0.027100,0.022000,58.057373,51.485393
129,s,0.023128,0.057450,0.022000,64.764893,102.578351
130,d,0.002385,0.004750,0.019200,6.861084,26.335393
131,d,0.002385,0.014050,0.018500,14.053467,34.935393
132,p,0.003780,0.060600,0.020000,32.374023,84.379849
133,d,0.002385,0.004100,0.022000,42.013184,28.485393
134,p,0.003780,0.047250,0.022000,60.627686,73.029849
135,d,0.002385,0.006200,0.019200,6.762939,27.785393
136,s,0.023128,0.010200,0.019200,13.894775,52.528351
137,d,0.002385,0.020850,0.020000,21.159912,43.235393
138,s,0.023128,0.136000,0.022000,28.170898,181.128351
139,s,0.023128,0.075850,0.020000,35.194092,118.978351
140,d,0.002385,0.006050,0.018500,15.844238,26.935393
141,d,0.002385,0.015600,0.019200,23.571533,37.185393
142,p,0.003780,0.120250,0.020000,43.456299,144.029849
143,p,0.003780,0.004750,0.019200,64.396973,27.729849
144,d,0.002385,0.015150,0.019200,74.529541,36.735393
145,s,0.023128,0.004150,0.022000,17.536865,49.278351
146,s,0.023128,0.010400,0.018500,25.140625,52.028351
