Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Files Processed Per Script,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Peak GPU Usage (%),Peak GPU Memory (MB),Average CPU Usage Per Core,Number of Cores Used,Average GPU Clock (MHz),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model
1,ssdp,0.04225861293379995,34.20926809310913,"Speech, Speech, Detect, Predict","0.018294, 0.018644, 0.002590, 0.002731","9.788, 9.580, 7.068, 7.773","54, 54, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12403.98828125,76,3262.25,"35.0, 43.0, 2.5, 12.7, 1.0, 11.8, 9.3, 2.1, 29.2, 41.1, 6.1, 4.6, 6.6, 5.9, 1.9, 2.6, 35.4, 28.6, 9.7, 10.3, 2.0, 2.6, 1.3, 0.9, 32.4, 38.5, 6.5, 2.2, 13.6, 4.8, 1.0, 15.8",19,2689.8237885462554,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,ssps,0.058040618620589096,39.29716444015503,"Speech, Speech, Predict, Speech","0.018274, 0.018384, 0.003119, 0.018263","11.345, 10.073, 8.521, 9.358","54, 54, 508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12407.9296875,81,3262.25,"7.9, 35.2, 39.7, 1.4, 1.1, 2.1, 1.6, 1.7, 10.4, 12.3, 5.9, 8.7, 19.5, 8.1, 42.9, 9.8, 15.4, 48.3, 27.3, 2.5, 1.8, 5.8, 8.0, 1.5, 7.6, 5.1, 8.8, 4.2, 23.6, 5.2, 26.7, 10.1",23,2662.7586206896553,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sspd,0.04226963611840187,68.63563132286072,"Speech, Speech, Predict, Detect","0.018126, 0.018328, 0.003041, 0.002775","9.292, 43.627, 8.230, 7.487","54, 54, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12407.1328125,77,3262.25,"9.0, 8.9, 32.5, 0.4, 35.3, 1.4, 0.7, 16.9, 16.1, 2.2, 4.4, 4.0, 0.9, 4.3, 18.1, 13.7, 7.5, 4.1, 41.0, 1.2, 35.6, 0.5, 0.6, 1.4, 8.7, 19.2, 1.8, 2.9, 3.0, 7.4, 1.1, 58.3",15,2631.956043956044,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sspp,0.04186494305920094,34.619792461395264,"Speech, Speech, Predict, Predict","0.017776, 0.018416, 0.002844, 0.002828","9.902, 8.805, 8.005, 7.909","54, 54, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12394.25390625,71,3262.25,"12.2, 18.5, 1.6, 27.9, 30.9, 5.5, 2.5, 15.3, 12.5, 30.6, 8.4, 5.0, 9.2, 7.3, 2.5, 28.8, 12.9, 11.8, 5.2, 23.7, 25.5, 11.2, 1.2, 7.7, 21.7, 22.1, 2.7, 2.4, 2.3, 4.6, 2.1, 36.8",23,2690.6739130434785,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdss,0.05701579593175853,34.67372965812683,"Speech, Detect, Speech, Speech","0.018693, 0.002740, 0.017533, 0.018049","8.853, 7.440, 9.372, 9.010","54, 508, 54, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12417.90625,79,3262.25,"15.1, 9.7, 8.1, 1.7, 36.4, 6.2, 12.6, 26.1, 13.5, 36.4, 26.1, 14.5, 1.9, 2.0, 5.9, 9.6, 21.7, 5.7, 2.3, 1.9, 46.5, 6.9, 16.3, 5.0, 11.6, 22.2, 10.1, 13.7, 1.3, 2.0, 1.8, 12.4",23,2669.1521739130435,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdsd,0.042142185695538056,33.428688764572144,"Speech, Detect, Speech, Detect","0.018183, 0.002766, 0.018358, 0.002836","9.128, 7.498, 9.189, 7.614","54, 508, 54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12341.41015625,77,3262.25,"9.6, 11.2, 27.8, 2.0, 7.5, 15.1, 4.5, 1.1, 26.7, 18.6, 11.3, 2.2, 5.7, 1.5, 4.1, 14.5, 34.1, 58.8, 17.3, 3.0, 25.5, 8.6, 1.3, 1.3, 54.9, 20.8, 7.7, 0.8, 1.2, 0.6, 11.6, 16.8",20,2715.2027027027025,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdsp,0.04210376275882181,35.17413401603699,"Speech, Detect, Speech, Predict","0.017782, 0.002780, 0.018807, 0.002735","8.980, 7.576, 10.837, 7.782","54, 508, 54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12428.265625,79,3262.25,"8.9, 33.4, 13.3, 4.0, 13.9, 30.6, 4.3, 2.4, 26.4, 14.7, 4.5, 51.8, 6.0, 1.8, 0.9, 15.4, 23.6, 29.4, 15.5, 1.8, 5.0, 22.8, 5.5, 0.6, 25.5, 4.6, 5.7, 27.5, 7.0, 1.6, 0.8, 7.1",21,2669.3562231759656,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdds,0.04195949533391659,32.695995569229126,"Speech, Detect, Detect, Speech","0.018310, 0.002705, 0.002702, 0.018242","8.748, 7.303, 7.372, 9.272","54, 508, 508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12375.83984375,77,3261.9375,"17.6, 20.6, 3.8, 17.2, 21.1, 45.0, 0.0, 3.8, 57.0, 12.1, 4.4, 26.9, 21.4, 1.9, 1.0, 5.2, 15.8, 11.0, 4.4, 16.7, 15.9, 7.6, 2.7, 0.2, 2.1, 9.3, 4.8, 35.7, 10.7, 3.6, 1.0, 20.4",19,2693.3640552995394,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sddd,0.026359791776027992,31.37784695625305,"Speech, Detect, Detect, Detect","0.018563, 0.002554, 0.002665, 0.002578","9.661, 7.216, 7.387, 7.114","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12371.4453125,68,3261.9375,"11.1, 41.0, 3.1, 16.6, 0.9, 9.6, 17.6, 2.6, 21.2, 18.7, 6.7, 21.6, 3.7, 2.5, 0.9, 14.1, 13.9, 32.9, 9.6, 13.2, 1.8, 35.7, 2.3, 0.6, 49.9, 19.3, 9.4, 7.7, 4.2, 2.6, 0.2, 28.5",20,2735.5263157894738,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sddp,0.026092454141149024,31.45032048225403,"Speech, Detect, Detect, Predict","0.017920, 0.002696, 0.002599, 0.002877","8.947, 7.362, 7.174, 7.968","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12445.62109375,76,3261.9375,"43.1, 44.8, 8.9, 2.6, 1.0, 4.0, 0.4, 15.3, 25.7, 5.7, 4.3, 2.0, 32.7, 16.6, 2.9, 28.2, 21.9, 41.2, 4.4, 1.5, 1.1, 3.2, 1.8, 1.8, 14.3, 8.6, 4.6, 2.3, 36.5, 4.9, 2.7, 17.2",15,2727.9904306220096,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
