Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Files Processed Per Script,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Peak GPU Usage (%),Peak GPU Memory (MB),Average CPU Usage Per Core,Number of Cores Used,Average GPU Clock (MHz),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model
1,s,0.021298901960784312,10.056809663772583,Speech,0.021299,10.057,102,,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,9902.4296875,79,2825.375,"12.7, 32.7, 9.4, 43.4, 7.8, 0.0, 12.0, 3.8, 13.8, 4.1, 10.0, 31.2, 2.6, 2.9, 2.4, 2.1",9,1703.409090909091,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,d,0.0035055846456692914,9.02088189125061,Detect,0.003506,9.021,508,307200,,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,10016.125,91,3274.3125,"13.5, 10.7, 18.6, 5.5, 20.6, 16.9, 14.1, 2.5, 50.5, 2.3, 38.1, 12.7, 4.1, 3.3, 2.5, 1.9",10,1724.0,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,p,0.003364990157480315,8.177619934082031,Predict,0.003365,8.178,508,307200,,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,11012.7421875,89,2508.3125,"23.7, 35.0, 29.9, 7.7, 26.5, 13.1, 11.8, 0.6, 24.0, 5.8, 3.7, 0.6, 2.4, 2.5, 2.5, 2.4",9,1725.0,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,ss,0.04684492156862745,19.647923469543457,"Speech, Speech","0.021355, 0.025489","9.651, 9.997","102, 102",,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,10360.12890625,100,5016.3125,"34.7, 19.2, 13.8, 10.7, 34.5, 4.0, 8.6, 7.6, 18.4, 8.5, 12.0, 8.5, 3.2, 3.0, 3.0, 2.5",11,1677.093023255814,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,sd,0.03379906970819824,18.14356255531311,"Speech, Detect","0.031085, 0.002714","11.359, 6.784","102, 508",307200,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,10407.16015625,100,5118.3125,"11.5, 7.6, 5.1, 14.8, 7.0, 24.7, 16.5, 7.5, 5.8, 12.3, 31.4, 8.1, 2.9, 2.9, 3.4, 2.9",12,1636.6666666666667,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,sp,0.024602770186814883,18.527097702026367,"Speech, Predict","0.021277, 0.003325","10.195, 8.332","102, 508",307200,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,10745.51171875,80,5118.3125,"21.0, 13.6, 22.7, 5.1, 17.2, 9.8, 9.6, 2.0, 9.7, 14.0, 12.0, 2.5, 1.8, 2.3, 1.9, 2.2",10,1721.9262295081967,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,s,0.020915078431372552,10.4099600315094,Speech,0.020915,10.410,102,,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,8483.328125,81,2826.1875,"26.7, 10.6, 29.8, 3.4, 1.0, 2.2, 4.2, 0.0, 2.6, 0.0, 3.2, 0.0, 1.8, 2.6, 1.7, 2.0",3,1465.8510638297873,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,d,0.002708049212598425,6.844050645828247,Detect,0.002708,6.844,508,307200,,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7914.11328125,41,982.1875,"0.0, 1.6, 2.7, 0.0, 88.9, 6.2, 2.6, 0.0, 0.0, 0.0, 0.7, 0.4, 0.4, 0.4, 0.4, 0.0",2,1674.0,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,p,0.003215728346456693,7.631083011627197,Predict,0.003216,7.631,508,307200,,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,8053.36328125,44,1046.1875,"2.0, 0.3, 22.6, 0.0, 0.0, 0.0, 23.3, 0.0, 10.8, 7.8, 36.4, 0.3, 0.7, 0.3, 0.0, 0.7",5,1725.0,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,ss,0.04171800980392157,18.49788761138916,"Speech, Speech","0.020835, 0.020883","9.200, 9.298","102, 102",,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,8660.24609375,82,2830.125,"2.5, 0.6, 40.0, 7.4, 18.1, 6.9, 5.8, 0.6, 1.8, 1.3, 7.7, 1.9, 2.9, 2.4, 2.6, 2.4",6,1389.7297297297298,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
1,sd,0.023559182028717,16.586979150772095,"Speech, Detect","0.020838, 0.002721","9.724, 6.863","102, 508",307200,37360,/home/iiitd/heterogeneous/heterogeneous_edge/images/bear,/home/iiitd/heterogeneous/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,8599.02734375,81,2826.125,"3.0, 0.0, 10.5, 2.6, 8.4, 0.2, 37.6, 2.0, 1.8, 0.9, 27.0, 10.0, 1.9, 1.5, 1.7, 2.1",5,1555.3960396039604,31.108741760253906,16,24.0,12th Gen Intel(R) Core(TM) i5-12600K,NVIDIA GeForce RTX 3090
