Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Num Files Processed,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Average CPU Usage Per Core,Number of Cores Used,Peak CPU Usage (%),Average CPU Clock (MHz),Total RAM (GB),Total CPU Cores,CPU Model,Device
1,pd,0.11905801399999999,79.2632167339325,"Predict, Detect","0.068164, 0.050894","47.022, 32.242","500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3218.83984375,"53.1, 58.1, 56.1, 39.1, 50.6, 11.9, 50.9, 70.4, 44.0, 38.1, 45.2, 61.3, 45.9, 84.0, 46.2, 27.1",16,81.0,2.550730608974359,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pp,0.13700300799999998,94.31995868682861,"Predict, Predict","0.068656, 0.068347","47.191, 47.129","500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3305.38671875,"50.7, 73.3, 62.6, 56.8, 70.4, 41.7, 64.9, 83.6, 50.2, 26.5, 41.4, 43.9, 29.2, 57.9, 35.9, 15.2",16,85.0,2.6056290409482763,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sss,1.3379162962962963,96.75938820838928,"Speech, Speech, Speech","0.446270, 0.445289, 0.446357","32.319, 32.469, 31.971","54, 54, 54",,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4643.8828125,"29.8, 46.3, 58.0, 60.7, 44.6, 38.8, 62.2, 50.6, 49.3, 33.2, 31.4, 23.5, 34.7, 39.3, 16.5, 29.4",16,61.7,2.285391150210084,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ssd,0.9317459642222221,103.17729640007019,"Speech, Speech, Detect","0.444893, 0.435953, 0.050900","32.917, 38.033, 32.227","54, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4674.90625,"33.7, 53.8, 61.3, 46.1, 50.8, 30.0, 46.3, 65.3, 44.7, 24.1, 25.7, 36.9, 27.4, 47.9, 31.4, 12.6",16,65.0,2.317312746062992,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ssp,0.964293967037037,110.42233991622925,"Speech, Speech, Predict","0.448755, 0.447260, 0.068279","31.736, 31.709, 46.977","54, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4760.1875,"42.1, 40.3, 72.8, 53.2, 40.6, 58.4, 68.6, 76.5, 45.1, 46.7, 20.9, 39.7, 46.5, 27.9, 18.4, 10.2",16,64.6,2.394632136279926,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sds,0.9441879765925926,97.3083188533783,"Speech, Detect, Speech","0.446563, 0.050892, 0.446733","32.413, 32.241, 32.655","54, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4610.8203125,"41.8, 53.2, 57.2, 45.9, 56.0, 22.1, 77.8, 56.6, 42.1, 30.7, 33.5, 44.9, 27.9, 61.5, 5.0, 27.2",16,61.3,2.3588970511482255,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sdd,0.5459746523703704,98.02335214614868,"Speech, Detect, Detect","0.444459, 0.050715, 0.050801","33.715, 32.138, 32.171","54, 500, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4662.89453125,"54.6, 38.8, 47.7, 68.4, 60.7, 35.5, 62.7, 56.2, 33.0, 49.2, 48.0, 22.3, 25.9, 51.9, 25.1, 31.1",16,68.7,2.455356237060042,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sdp,0.5642765764444444,111.74292874336243,"Speech, Detect, Predict","0.444994, 0.050856, 0.068426","32.422, 32.224, 47.096","54, 500, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4597.79296875,"44.7, 45.9, 43.9, 51.7, 50.2, 49.6, 72.3, 66.7, 46.9, 45.0, 49.2, 47.5, 40.5, 41.9, 18.2, 24.0",16,86.6,2.4000682954545454,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,sps,0.9618116397777777,112.10909652709961,"Speech, Predict, Speech","0.447238, 0.068411, 0.446162","32.380, 47.068, 32.661","54, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4692.09765625,"52.1, 38.1, 58.0, 54.7, 49.3, 53.0, 59.7, 63.6, 36.4, 50.4, 37.4, 38.2, 37.7, 35.4, 27.8, 23.9",16,76.5,2.3955266560798547,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,spd,0.5655572004444445,111.73089742660522,"Speech, Predict, Detect","0.446218, 0.068224, 0.051114","32.301, 47.044, 32.386","54, 500, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4637.9765625,"49.1, 42.9, 74.7, 52.1, 51.8, 37.5, 74.1, 71.8, 41.0, 47.0, 18.1, 45.9, 37.4, 51.8, 15.5, 18.2",16,91.4,2.5116129545454546,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
