Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Num Files Processed,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Average CPU Usage Per Core,Number of Cores Used,Peak CPU Usage (%),Average CPU Clock (MHz),Total RAM (GB),Total CPU Cores,CPU Model,Device
1,s,0.6299531296296296,43.954991579055786,Speech,0.629953,43.955,54,,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7908.18359375,"45.9, 25.0, 40.3, 41.4, 44.1, 44.7, 47.1, 69.0, 42.5, 44.6, 39.6, 40.5",12,98.4,3.7737019969278034,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,d,0.055425199999999994,34.49404954910278,Detect,0.055425,34.494,500,286720,,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,6403.45703125,"44.2, 48.6, 74.9, 25.6, 44.5, 32.6, 58.9, 48.3, 20.5, 69.7, 50.0, 62.5",12,87.1,3.984411274509804,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,p,0.07493261,52.345319509506226,Predict,0.074933,52.345,500,286720,,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,6441.58203125,"38.4, 57.6, 67.2, 22.9, 18.6, 69.2, 58.8, 42.2, 27.7, 72.5, 76.8, 26.7",12,78.0,4.079972762645915,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,ss,1.2500294444444444,89.34221363067627,"Speech, Speech","0.635620, 0.614410","46.500, 42.842","54, 54",,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7765.2109375,"24.6, 30.0, 30.6, 24.9, 36.5, 53.2, 55.6, 59.7, 46.8, 54.2, 42.0, 24.8",12,98.4,3.7677120349278668,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,sd,0.7156454404444444,80.14146828651428,"Speech, Detect","0.660397, 0.055248","45.923, 34.218","54, 500",286720,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7758.6796875,"35.8, 32.4, 44.4, 28.2, 43.4, 48.2, 54.0, 59.4, 38.7, 56.4, 39.6, 35.2",12,61.0,3.6969654008438817,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,sp,0.6909500665925926,98.54103088378906,"Speech, Predict","0.616017, 0.074933","46.209, 52.332","54, 500",286720,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7768.77734375,"36.3, 32.3, 47.7, 28.5, 45.1, 43.5, 54.4, 58.6, 37.2, 57.6, 39.6, 41.7",12,81.4,3.8869254476584025,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,ds,0.6693196781481482,78.36780047416687,"Detect, Speech","0.056564, 0.612756","35.064, 43.304","500, 54",286720,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7821.87890625,"39.8, 17.3, 53.2, 28.0, 41.9, 30.7, 50.1, 76.3, 30.4, 56.4, 42.9, 54.3",12,74.6,3.8556632124352332,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,dd,0.10952284600000001,68.24818539619446,"Detect, Detect","0.053583, 0.055940","33.523, 34.725","500, 500",286720,,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,6264.2890625,"41.6, 32.9, 50.0, 25.2, 75.1, 64.6, 57.4, 61.5, 40.9, 64.7, 15.4, 26.2",12,81.7,4.001310583580613,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,dp,0.130466746,86.8846971988678,"Detect, Predict","0.055911, 0.074556","34.720, 52.165","500, 500",286720,,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,6634.30859375,"31.5, 25.9, 37.5, 27.9, 39.8, 49.5, 66.2, 73.1, 54.9, 65.2, 52.5, 42.9",12,93.4,4.023679906542056,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
1,ps,0.708662725037037,95.54546856880188,"Predict, Speech","0.074550, 0.634113","51.950, 43.596","500, 54",286720,55680,/home/iiit-delhi/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/iiit-delhi/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,7753.8515625,"45.2, 21.3, 54.5, 27.8, 51.3, 73.9, 49.1, 72.4, 33.2, 60.7, 36.2, 14.5",12,88.5,3.93355780141844,30.74622344970703,12,AMD Ryzen 5 5600GT with Radeon Graphics,CPU
