request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
11393,p,0.003780,0.003900,0.018500,62.394287,26.179849
11394,pd,0.002977,0.047250,0.019200,86.336426,69.427001
11395,s,0.023128,0.006450,0.021500,9.972412,51.078351
11396,s,0.023128,0.008200,0.020000,18.343506,51.328351
11397,ps,0.002840,0.004550,0.021500,37.916504,28.889786
11398,ps,0.002840,0.014350,0.018500,63.650635,35.689786
11399,pss,0.002833,0.089300,0.018500,92.472412,110.632709
11400,s,0.023128,0.011750,0.018500,6.447998,53.378351
11401,d,0.002385,0.077150,0.019200,14.908447,98.735393
11402,p,0.003780,0.011100,0.021500,35.041260,36.379849
11403,pp,0.002838,0.014300,0.018500,59.597412,35.638325
11404,ppd,0.002827,0.087450,0.022000,84.149658,112.276719
11405,d,0.002385,0.004100,0.019200,6.827637,25.685393
11406,dd,0.002426,0.005400,0.019200,14.985107,27.025915
11407,s,0.023128,0.008800,0.019200,22.880859,51.128351
11408,sdd,0.018511,0.006400,0.019200,30.670654,44.110933
11409,ps,0.002840,0.005000,0.018500,49.933105,26.339786
11410,p,0.003780,0.009200,0.019200,17.759766,32.179849
11411,sp,0.018754,0.004500,0.020000,30.195312,43.253690
11412,ss,0.018821,0.043500,0.020000,38.117920,82.320769
11413,ps,0.002840,0.013850,0.021500,57.980469,38.189786
11414,d,0.002385,0.065150,0.019200,70.853760,86.735393
11415,s,0.023128,0.006950,0.021500,6.935303,51.578351
11416,ds,0.002343,0.005000,0.020000,15.338623,27.342513
11417,d,0.002385,0.013550,0.019200,23.721436,35.135393
11418,dds,0.002685,0.004450,0.019200,32.293945,26.335273
11419,pds,0.003022,0.004050,0.020000,51.397705,27.071933
11420,d,0.002385,0.005550,0.018500,6.760254,26.435393
11421,dd,0.002426,0.009050,0.022000,14.838135,33.475915
11422,sdd,0.018511,0.005050,0.019200,22.992432,42.760933
11423,psd,0.003139,0.004450,0.018500,42.629883,26.088792
11424,d,0.002385,0.036450,0.022000,55.191162,60.835393
11425,s,0.023128,0.011000,0.021500,6.461182,55.628351
11426,ds,0.002343,0.047650,0.020000,14.800781,69.992513
11427,pd,0.002977,0.057800,0.019200,34.097412,79.977001
11428,ppds,0.002919,0.085050,0.019200,58.727051,107.168950
11429,p,0.003780,0.005300,0.020000,85.736084,29.079849
11430,d,0.002385,0.040200,0.022000,6.916992,64.585393
11431,d,0.002385,0.004350,0.021500,15.326660,28.235393
11432,pd,0.002977,0.004950,0.018500,36.102783,26.427001
11433,pp,0.002838,0.004900,0.019200,59.674072,26.938325
11434,sp,0.018754,0.044850,0.019200,71.872803,82.803690
11435,s,0.023128,0.016400,0.019200,6.282471,58.728351
11436,p,0.003780,0.021700,0.019200,25.672119,44.679849
11437,s,0.023128,0.004350,0.021500,38.396240,48.978351
11438,ss,0.018821,0.018800,0.021500,46.547119,59.120769
11439,pss,0.002833,0.014850,0.020000,65.745850,37.682709
11440,p,0.003780,0.004050,0.019200,17.885498,27.029849
11441,pp,0.002838,0.013950,0.020000,43.167480,36.788325
11442,d,0.002385,0.087500,0.020000,57.360107,109.885393
11443,pp,0.002838,0.004500,0.020000,77.800537,27.338325
11444,dp,0.002464,0.010800,0.022000,90.945068,35.264344
11445,p,0.003780,0.024400,0.020000,35.758057,48.179849
11446,d,0.002385,0.004950,0.019200,48.383301,26.535393
11447,dp,0.002464,0.070750,0.020000,56.641602,93.214344
11448,dd,0.002426,0.005450,0.020000,64.812256,27.875915
11449,dd,0.002426,0.004100,0.019200,75.521484,25.725915
11455,p,0.003780,0.006100,0.018500,17.756836,28.379849
11456,dp,0.002464,0.010950,0.022000,30.699951,35.414344
11457,dp,0.002464,0.070750,0.020000,38.967041,93.214344
11458,ddp,0.002502,0.011400,0.020000,47.111328,33.901712
