request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
12364,ss,0.018821,0.025650,0.022000,118.866699,66.470769
12365,s,0.023128,0.019100,0.020000,36.054932,62.228351
12366,ss,0.018821,0.012750,0.019200,52.447754,50.770769
12367,dss,0.002842,0.013250,0.022000,68.040039,38.091615
12368,ddss,0.002785,0.004550,0.021500,84.178223,28.835416
12369,pd,0.002977,0.007200,0.022000,111.844727,32.177001
12375,p,0.003780,0.009300,0.022000,18.927246,35.079849
12376,dp,0.002464,0.011900,0.019200,41.237549,33.564344
12377,pd,0.002977,0.013850,0.019200,68.061523,36.027001
12378,pp,0.002838,0.010350,0.022000,97.327637,35.188325
12379,dp,0.002464,0.007000,0.018500,116.744385,27.964344
12370,p,0.003780,0.008600,0.018500,35.031982,30.879849
12371,dp,0.002464,0.014150,0.019200,58.502686,35.814344
12372,pd,0.002977,0.012100,0.022000,79.613037,37.077001
12373,dp,0.002464,0.007850,0.022000,98.120361,32.314344
12374,sdp,0.018492,0.008750,0.018500,113.017822,45.741971
12385,d,0.002385,0.009850,0.021500,32.221924,33.735393
12386,sd,0.018668,0.012450,0.018500,47.457031,49.617773
12387,dsd,0.002613,0.008100,0.019200,64.306885,29.912551
12388,pds,0.003022,0.011950,0.019200,91.540771,34.171933
12389,pp,0.002838,0.007650,0.022000,124.817139,32.488325
12380,d,0.002385,0.017250,0.019200,29.016357,38.835393
12381,sd,0.018668,0.007650,0.019200,43.668213,45.517773
12382,ssd,0.018735,0.020750,0.021500,58.206543,60.984503
12383,pss,0.002833,0.012500,0.019200,84.550781,34.532709
12384,dpssd,0.002315,0.022500,0.019200,109.991699,44.015309
12395,d,0.002385,0.015150,0.021500,29.981201,39.035393
12396,pd,0.002977,0.008800,0.018500,56.807129,30.277001
12397,p,0.003780,0.011900,0.022000,89.960205,37.679849
12398,pp,0.002838,0.007200,0.019200,123.160156,29.238325
12399,dp,0.002464,0.012250,0.019200,144.830078,33.914344
12390,p,0.003780,0.005200,0.021500,41.495361,30.479849
12391,p,0.003780,0.013900,0.021500,74.616455,39.179849
12392,dp,0.002464,0.009600,0.022000,96.403564,34.064344
12393,pd,0.002977,0.013650,0.021500,122.715332,38.127001
12394,dp,0.002464,0.011100,0.018500,144.825928,32.064344
12400,p,0.003780,0.017350,0.021500,27.312744,42.629849
12401,pp,0.002838,0.006800,0.020000,61.054199,29.638325
12402,p,0.003780,0.011350,0.019200,94.401123,34.329849
12403,d,0.002385,0.004250,0.022000,110.945557,28.635393
12404,sdp,0.018492,0.012500,0.021500,125.864746,52.491971
12405,p,0.003780,0.027300,0.021500,41.559326,52.579849
12406,pp,0.002838,0.019800,0.019200,77.313477,41.838325
12407,pp,0.002838,0.013850,0.021500,110.592529,38.188325
12408,spp,0.018537,0.041300,0.022000,126.923584,81.837181
12409,sp,0.018754,0.009900,0.022000,141.792480,50.653690
12410,s,0.023128,0.007900,0.019200,31.346924,50.228351
12411,ds,0.002343,0.011750,0.022000,58.535156,36.092513
12412,sd,0.018668,0.010800,0.021500,84.137207,50.967773
12413,ds,0.002343,0.012650,0.021500,102.971191,36.492513
12414,pds,0.003022,0.014350,0.020000,129.360840,37.371933
12415,s,0.023128,0.010050,0.022000,29.656494,55.178351
12416,ps,0.002840,0.020600,0.019200,56.482422,42.639786
12417,pps,0.002854,0.028200,0.019200,84.433350,50.254053
12418,spps,0.018353,0.027000,0.021500,99.572754,66.852865
12419,ps,0.002840,0.009150,0.019200,125.916992,31.189786
12420,s,0.023128,0.011900,0.022000,29.758545,57.028351
12421,ps,0.002840,0.009150,0.020000,56.235840,31.989786
12422,sps,0.018360,0.012050,0.020000,78.057373,50.410251
12423,ps,0.002840,0.019800,0.021500,104.255371,44.139786
12424,pp,0.002838,0.011050,0.018500,137.529053,32.388325
12425,p,0.003780,0.005500,0.020000,34.358398,29.279849
12426,p,0.003780,0.008250,0.018500,64.552246,30.529849
12427,sp,0.018754,0.018300,0.020000,86.945801,57.053690
12428,ds,0.002343,0.011250,0.022000,101.912354,35.592513
12429,pds,0.003022,0.018650,0.019200,128.223389,40.871933
12430,p,0.003780,0.008550,0.018500,40.096680,30.829849
12431,dp,0.002464,0.010350,0.019200,63.641846,32.014344
12432,ddp,0.002502,0.010900,0.022000,78.864502,35.401712
12433,ddd,0.002493,0.018250,0.021500,94.376465,42.243417
12434,pddd,0.002895,0.046050,0.022000,121.498291,70.945137
12440,p,0.003780,0.005600,0.018500,35.378174,27.879849
12441,sp,0.018754,0.014450,0.022000,57.283691,55.203690
12442,dsp,0.002685,0.011900,0.019200,72.004639,33.784513
12443,dds,0.002685,0.013550,0.019200,87.007812,35.435273
12444,ddds,0.002761,0.008650,0.022000,102.193604,33.410792
12435,p,0.003780,0.011050,0.022000,41.634033,36.829849
12436,dp,0.002464,0.011050,0.019200,70.710449,32.714344
12437,pd,0.002977,0.007900,0.019200,100.168701,30.077001
12438,sp,0.018754,0.010300,0.018500,123.852295,47.553690
12439,ss,0.018821,0.019750,0.020000,138.819092,58.570769
12445,p,0.003780,0.028300,0.020000,41.772705,52.079849
12446,dp,0.002464,0.017850,0.018500,72.326660,38.814344
12447,ddp,0.002502,0.015350,0.020000,92.362549,37.851712
12448,pd,0.002977,0.008800,0.020000,125.287842,31.777001
12449,dp,0.002464,0.011800,0.018500,149.987061,32.764344
12450,p,0.003780,0.007850,0.021500,42.902344,33.129849
12451,sp,0.018754,0.020600,0.022000,65.325684,61.353690
12452,ds,0.002343,0.010900,0.019200,84.312744,32.442513
12453,dds,0.002685,0.023550,0.019200,101.501953,45.435273
12454,pd,0.002977,0.009600,0.019200,128.218506,31.777001
12455,s,0.023128,0.012050,0.021500,30.940918,56.678351
12456,ds,0.002343,0.013900,0.022000,45.870361,38.242513
12457,d,0.002385,0.007250,0.019200,56.029785,28.835393
12458,pds,0.003022,0.020100,0.018500,84.487793,41.621933
12459,sp,0.018754,0.010350,0.021500,107.776367,50.603690
12460,p,0.003780,0.009200,0.020000,42.935059,32.979849
12461,dp,0.002464,0.015750,0.018500,64.750732,36.714344
12462,pd,0.002977,0.013850,0.022000,91.816895,38.827001
12463,dpdp,0.002699,0.027750,0.019200,114.582520,49.648646
12464,ddp,0.002502,0.017350,0.021500,129.962158,41.351712
12470,d,0.002385,0.011950,0.020000,16.391113,34.335393
12471,pd,0.002977,0.005050,0.021500,44.880127,29.527001
12472,dp,0.002464,0.009850,0.018500,66.725098,30.814344
12473,sd,0.018668,0.005150,0.022000,76.228271,45.817773
12474,dsd,0.002613,0.014750,0.018500,92.873535,35.862551
12465,p,0.003780,0.009950,0.022000,41.271484,35.729849
12466,dp,0.002464,0.005750,0.019200,63.092041,27.414344
12467,sdp,0.018492,0.014000,0.018500,77.880371,50.991971
12468,ssdp,0.018187,0.013850,0.022000,92.491211,54.037445
12469,dss,0.002842,0.011550,0.019200,107.393066,33.591615
12475,s,0.023128,0.013550,0.021500,9.758545,58.178351
12476,ds,0.002343,0.019800,0.020000,27.385254,42.142513
12477,pd,0.002977,0.010650,0.020000,54.173584,33.627001
12478,dp,0.002464,0.011100,0.020000,70.430176,33.564344
12479,pd,0.002977,0.017350,0.021500,101.924072,41.827001
12480,p,0.003780,0.008200,0.021500,41.388672,33.479849
12481,dp,0.002464,0.015450,0.019200,63.190918,37.114344
12482,dd,0.002426,0.008750,0.019200,78.522705,30.375915
12483,ddd,0.002493,0.010800,0.018500,95.054688,31.793417
12484,sd,0.018668,0.016300,0.019200,110.478027,54.167773
12485,p,0.003780,0.011700,0.021500,47.641113,36.979849
12486,pp,0.002838,0.013850,0.019200,80.167480,35.888325
12487,pp,0.002838,0.014550,0.018500,113.111328,35.888325
12488,dp,0.002464,0.033400,0.018500,134.928467,54.364344
12489,pd,0.002977,0.015250,0.022000,161.180176,40.227001
12495,d,0.002385,0.019200,0.020000,15.448975,41.585393
12496,pd,0.002977,0.040200,0.018500,42.363037,61.677001
12497,dpd,0.002513,0.013850,0.019200,64.187012,35.562673
12498,sdp,0.018492,0.017900,0.022000,78.984619,58.391971
12499,psp,0.002926,0.014500,0.018500,105.299805,35.925658
12490,p,0.003780,0.008250,0.019200,24.530029,31.229849
12491,sp,0.018754,0.015700,0.022000,47.655518,56.453690
12492,ss,0.018821,0.005200,0.021500,63.393555,45.520769
12493,sss,0.019288,0.017400,0.019200,78.851074,55.888093
12494,dsss,0.003039,0.005700,0.022000,94.758545,30.738978
12500,d,0.002385,0.016950,0.018500,30.618408,37.835393
12501,dd,0.002426,0.015450,0.019200,51.347900,37.075915
12502,pdd,0.003045,0.008050,0.021500,77.979492,32.594804
12503,dp,0.002464,0.020600,0.018500,100.987061,41.564344
12504,ddpd,0.002829,0.015250,0.019200,119.329346,37.278765
12510,s,0.023128,0.005050,0.022000,23.161865,50.178351
12511,ds,0.002343,0.011550,0.022000,41.000244,35.892513
12512,dds,0.002685,0.008800,0.022000,56.252930,33.485273
12513,ddds,0.002761,0.013950,0.022000,72.493408,38.710792
12514,sdd,0.018511,0.007500,0.018500,88.451172,44.510933
12505,d,0.002385,0.007500,0.020000,23.975098,29.885393
12506,dd,0.002426,0.012050,0.018500,38.799316,32.975915
12507,pd,0.002977,0.010400,0.020000,65.055176,33.377001
12508,sp,0.018754,0.014200,0.019200,86.643066,52.153690
12509,ps,0.002840,0.017400,0.021500,112.988037,41.739786
