episode,step,reward
20,11,0.122390
20,12,0.126867
20,13,0.015166
20,14,0.127715
20,15,0.097185
21,1,0.160417
21,2,0.034321
21,3,0.059060
21,4,0.084096
21,5,0.024281
21,6,0.051465
21,7,0.074782
21,8,0.139710
21,9,0.138121
21,10,0.040216
21,11,0.090445
21,12,0.075974
21,13,0.078022
21,14,0.140911
21,15,0.053954
22,1,0.225319
22,2,0.091576
22,3,0.191003
22,4,0.181651
22,5,0.178431
22,6,0.116367
22,7,0.081760
22,8,0.123175
22,9,0.058329
22,10,0.147922
22,11,0.151202
22,12,0.126522
22,13,0.105413
22,14,0.111391
22,15,0.031208
23,1,0.155832
23,2,0.041334
23,3,0.056409
23,4,0.014178
23,5,0.162077
23,6,0.167831
23,7,0.185843
23,8,0.176776
23,9,0.142460
23,10,0.134915
23,11,0.136731
23,12,0.134130
23,13,0.090943
23,14,0.034368
23,15,0.014345
24,1,0.121745
24,2,0.068502
24,3,0.095901
24,4,0.225084
24,5,0.159104
24,6,0.009217
24,7,0.164637
24,8,0.104995
24,9,0.184661
24,10,0.155692
24,11,0.104469
24,12,0.000000
24,13,0.088073
24,14,0.016964
24,15,0.130552
25,1,0.155832
25,2,0.093257
25,3,0.106851
25,4,0.111662
25,5,0.106306
25,6,0.049142
25,7,0.107149
25,8,0.026989
25,9,0.133391
25,10,0.077298
25,11,0.155832
25,12,0.144722
25,13,0.043539
25,14,0.177952
25,15,0.066971
26,1,0.090445
26,2,0.056789
26,3,0.099766
26,4,0.065056
26,5,0.081713
26,6,0.148185
26,7,0.180810
26,8,0.130724
26,9,0.184696
26,10,0.107613
26,11,0.147546
26,12,0.147640
26,13,0.059060
26,14,0.136605
26,15,0.123822
27,1,0.197447
27,2,0.072291
27,3,0.112606
27,4,0.159480
27,5,0.079728
27,6,0.041615
27,7,0.007528
27,8,0.028203
27,9,0.085865
27,10,0.158088
27,11,0.049142
27,12,0.107149
27,13,0.085596
27,14,0.059037
27,15,0.096836
28,1,0.028049
28,2,0.096539
28,3,0.088369
28,4,0.010170
28,5,0.152791
28,6,0.164637
28,7,0.012811
28,8,0.072468
28,9,0.163438
28,10,0.104570
28,11,0.121745
28,12,0.220484
28,13,0.194641
28,14,0.181912
28,15,0.134860
29,1,0.092595
29,2,0.017263
29,3,0.126899
29,4,0.077329
29,5,0.146187
29,6,0.113172
29,7,0.164277
29,8,0.056554
29,9,0.132189
29,10,0.085636
29,11,0.133388
29,12,0.173478
29,13,0.088875
29,14,0.206061
29,15,0.169544
30,1,0.108952
30,2,0.058021
30,3,0.109363
30,4,0.141470
30,5,0.084407
30,6,0.072631
30,7,0.138096
30,8,0.110342
30,9,0.069404
30,10,0.101827
30,11,0.090445
30,12,0.124412
30,13,0.147346
30,14,0.044762
30,15,0.056587
31,1,0.119364
31,2,0.083229
31,3,0.147277
31,4,0.048657
31,5,0.088310
31,6,0.060757
31,7,0.195092
31,8,0.031991
31,9,0.133454
31,10,0.050251
31,11,0.055685
31,12,0.126414
31,13,0.100651
31,14,0.086958
31,15,0.104274
32,1,0.165226
32,2,0.124336
32,3,0.071964
32,4,0.127208
32,5,0.109545
32,6,0.072631
32,7,0.067012
32,8,0.125364
32,9,0.231130
32,10,0.146432
32,11,0.137966
32,12,0.093874
32,13,0.088087
32,14,0.109603
32,15,0.085786
33,1,0.031838
33,2,0.174994
33,3,0.156487
33,4,0.076995
33,5,0.017821
33,6,0.072631
33,7,0.151533
33,8,0.160226
33,9,0.164502
33,10,0.147769
33,11,0.057488
33,12,0.051465
33,13,0.089685
33,14,0.074194
33,15,0.032247
34,1,0.107149
34,2,0.200365
34,3,0.135682
34,4,0.215749
34,5,0.103981
34,6,0.099043
34,7,0.142586
34,8,0.109451
34,9,0.033806
34,10,0.092753
34,11,0.173854
34,12,0.143367
34,13,0.079405
34,14,0.079066
34,15,0.077216
35,1,0.112147
35,2,0.149004
35,3,0.093628
35,4,0.144056
35,5,0.155674
35,6,0.105931
35,7,0.068656
35,8,0.013491
35,9,0.108952
35,10,0.094860
35,11,0.076420
35,12,0.019162
35,13,0.060569
35,14,0.075442
35,15,0.090152
36,1,0.060682
36,2,0.041615
36,3,0.088543
36,4,0.144634
36,5,0.237923
36,6,0.164637
36,7,0.098570
36,8,0.086050
36,9,0.034436
36,10,0.113750
36,11,0.031838
36,12,0.113172
36,13,0.136927
36,14,0.000000
36,15,0.138556
37,1,0.092595
37,2,0.073596
37,3,0.084926
37,4,0.065630
37,5,0.059687
37,6,0.090445
37,7,0.117566
37,8,0.142105
37,9,0.012811
37,10,0.071602
37,11,0.009217
37,12,0.087798
37,13,0.154942
