episode,loss,val_loss,epsilon,reward,latency,deviation,access_rate,strategy,prediction_time
0,27.98899269104004,23.475399017333984,1.0,6.067325814475344,0.6956829019607843,0.6476829019607843,0.4,explore,0.029084444046020508
1,26.33867073059082,25.94532012939453,1.0,6.0417867277480175,0.6439915925925926,0.5959915925925926,0.4,explore,0.007904291152954102
2,28.094114303588867,25.202543258666992,1.0,6.120371908270158,0.053286909448818795,0.005286909448818794,0.8,explore,0.007237434387207031
3,24.91568946838379,31.23167610168457,1.0,6.122327589022756,0.40408025925925917,0.3560802592592592,0.6,explore,0.006909370422363281
4,26.55561637878418,34.525611877441406,1.0,6.127241093648204,0.0712869094488188,0.023286909448818796,0.6,explore,0.011976957321166992
5,26.834396362304688,50.93653106689453,1.0,6.080523380492011,0.0945014566929133,0.04650145669291329,0.6,explore,
6,29.0560302734375,66.33157348632812,1.0,6.084818228058564,0.0950802592592592,0.0470802592592592,0.4,explore,
7,36.758018493652344,82.95570373535156,1.0,6.024655133945802,0.6091829019607843,0.5611829019607842,0.2,explore,
8,38.63728332519531,93.53629302978516,1.0,6.018066147102672,0.11078690944881879,0.06278690944881879,0.8,explore,
9,53.73358917236328,102.77928161621094,1.0,6.062989984141155,0.0630014566929133,0.015001456692913293,0.6,explore,
10,56.96397399902344,103.96959686279297,1.0,6.085583049008502,0.0645014566929133,0.016501456692913294,0.8,explore,
11,,,1.0,,0.1150014566929133,0.0670014566929133,0.4,explore,
12,,,1.0,,0.0700014566929133,0.0220014566929133,0.8,explore,
13,,,1.0,,0.0680014566929133,0.020001456692913297,0.4,explore,
14,,,1.0,,0.0750014566929133,0.027001456692913303,0.4,explore,
15,,,1.0,,0.19016388,0.14216388000000002,0.4,explore,
16,,,1.0,,0.0685014566929133,0.020501456692913297,0.2,explore,
17,,,1.0,,0.06428690944881879,0.01628690944881879,0.6,explore,
18,,,1.0,,0.6741829019607842,0.6261829019607842,0.4,explore,
19,,,1.0,,0.9503182359999999,0.9023182359999998,0.4,explore,
20,,,1.0,,0.2015014566929133,0.15350145669291332,0.2,explore,
21,,,1.0,,0.1430802592592592,0.09508025925925921,0.6,explore,
22,,,1.0,,0.1627869094488188,0.1147869094488188,0.4,explore,
23,,,1.0,,0.0935802592592592,0.045580259259259195,0.6,explore,
24,,,1.0,,0.7151829019607843,0.6671829019607842,0.2,explore,
25,,,1.0,,0.52116388,0.47316388000000004,0.6,explore,
26,,,1.0,,0.8706829019607842,0.8226829019607842,0.2,explore,
27,,,1.0,,0.1025802592592592,0.0545802592592592,0.6,explore,
28,,,1.0,,0.1085802592592592,0.060580259259259195,0.6,explore,
29,,,1.0,,0.77966388,0.7316638799999999,0.4,explore,
30,,,1.0,,0.6143182359999999,0.5663182359999999,0.2,explore,
31,,,1.0,,0.0945802592592592,0.046580259259259196,0.4,explore,
32,,,1.0,,0.1035014566929133,0.0555014566929133,0.4,explore,
33,,,1.0,,0.2617869094488188,0.21378690944881884,0.4,explore,
34,,,1.0,,0.34616388000000003,0.29816388000000005,0.2,explore,
35,,,1.0,,0.1622869094488188,0.1142869094488188,0.2,explore,
36,,,1.0,,0.1920802592592592,0.1440802592592592,0.6,explore,
37,,,1.0,,0.10678690944881879,0.058786909448818786,0.4,explore,
38,,,1.0,,0.8293895846456691,0.7813895846456691,0.4,explore,
39,,,1.0,,0.5792489901574802,0.5312489901574802,0.4,explore,
40,,,1.0,,0.0727869094488188,0.024786909448818797,0.8,explore,
41,,,1.0,,0.09200145669291329,0.04400145669291329,0.8,explore,
42,,,1.0,,0.0702869094488188,0.022286909448818795,0.4,explore,
43,,,1.0,,0.0570014566929133,0.009001456692913301,0.6,explore,
44,,,1.0,,0.0955802592592592,0.0475802592592592,0.6,explore,
45,,,1.0,,0.0737869094488188,0.0257869094488188,0.6,explore,
46,,,1.0,,0.0720014566929133,0.0240014566929133,0.6,explore,
47,,,1.0,,0.0825014566929133,0.034501456692913296,0.8,explore,
48,,,1.0,,0.06378690944881879,0.01578690944881879,0.6,explore,
49,,,1.0,,0.0640014566929133,0.016001456692913293,0.2,explore,
50,,,1.0,,0.1332869094488188,0.0852869094488188,0.2,explore,
51,,,1.0,,0.0995802592592592,0.0515802592592592,0.8,explore,
52,,,1.0,,0.7513895846456692,0.7033895846456691,0.4,explore,
53,,,1.0,,0.1040802592592592,0.056080259259259205,0.6,explore,
54,,,1.0,,0.6336829019607843,0.5856829019607842,0.4,explore,
55,,,1.0,,0.1025802592592592,0.0545802592592592,1.0,explore,
56,,,1.0,,0.1035014566929133,0.0555014566929133,0.8,explore,
57,,,1.0,,0.12228690944881879,0.07428690944881879,0.8,explore,
58,,,1.0,,0.0890802592592592,0.041080259259259205,0.6,explore,
59,,,1.0,,0.0867869094488188,0.038786909448818796,0.8,explore,
60,,,1.0,,0.8669915925925926,0.8189915925925926,0.4,explore,
61,,,1.0,,0.0645014566929133,0.016501456692913294,0.8,explore,
62,,,1.0,,0.1050802592592592,0.057080259259259206,1.0,explore,
63,,,1.0,,0.0827869094488188,0.03478690944881879,0.8,explore,
64,,,1.0,,0.6968091999999999,0.6488091999999999,0.2,explore,
65,,,1.0,,0.0570014566929133,0.009001456692913301,0.6,explore,
66,,,1.0,,0.0920802592592592,0.044080259259259194,0.6,explore,
67,,,1.0,,0.38781661,0.33981661,0.6,explore,
68,,,1.0,,0.48618290196078434,0.43818290196078435,0.2,explore,
69,,,1.0,,0.1555802592592592,0.1075802592592592,0.2,explore,
70,,,1.0,,0.12100145669291329,0.07300145669291329,0.8,explore,
71,,,1.0,,0.0855014566929133,0.0375014566929133,0.6,explore,
72,,,1.0,,0.0732869094488188,0.025286909448818798,0.6,explore,
73,,,1.0,,0.0960802592592592,0.0480802592592592,0.4,explore,
74,,,1.0,,1.5366638799999999,1.4886638799999998,0.2,explore,
75,,,1.0,,0.15600145669291332,0.10800145669291332,0.4,explore,
76,,,1.0,,0.0930802592592592,0.045080259259259195,0.6,explore,
77,,,1.0,,0.15150145669291332,0.10350145669291332,0.4,explore,
78,,,1.0,,0.0697869094488188,0.021786909448818795,0.8,explore,
79,,,1.0,,0.0825014566929133,0.034501456692913296,0.8,explore,
80,,,1.0,,0.1030802592592592,0.055080259259259204,0.8,explore,
81,,,1.0,,0.07928690944881879,0.03128690944881879,0.4,explore,
82,,,1.0,,0.40416388000000003,0.35616388000000004,0.8,explore,
83,,,1.0,,0.0975802592592592,0.0495802592592592,0.2,explore,
84,,,1.0,,0.1000802592592592,0.0520802592592592,0.6,explore,
85,,,1.0,,0.0970802592592592,0.0490802592592592,0.2,explore,
86,,,1.0,,0.0630014566929133,0.015001456692913293,0.6,explore,
87,,,1.0,,0.06378690944881879,0.01578690944881879,0.4,explore,
88,,,1.0,,0.0775014566929133,0.029501456692913305,0.2,explore,
89,,,1.0,,0.0827869094488188,0.03478690944881879,0.8,explore,
90,,,1.0,,0.0705014566929133,0.0225014566929133,0.4,explore,
91,,,1.0,,0.1610014566929133,0.1130014566929133,0.4,explore,
92,,,1.0,,0.18458025925925922,0.1365802592592592,0.2,explore,
93,,,1.0,,0.0690014566929133,0.021001456692913298,0.4,explore,
94,,,1.0,,0.6817489901574803,0.6337489901574802,0.2,explore,
95,,,1.0,,0.0722869094488188,0.024286909448818797,0.6,explore,
96,,,1.0,,0.5951829019607843,0.5471829019607842,0.4,explore,
97,,,1.0,,0.1190014566929133,0.0710014566929133,0.6,explore,
98,,,1.0,,0.1000802592592592,0.0520802592592592,0.2,explore,
99,,,1.0,,0.20366388000000002,0.15566388000000003,0.4,explore,
100,,,1.0,,0.0960802592592592,0.0480802592592592,0.6,explore,
101,,,1.0,,0.0625014566929133,0.014501456692913292,0.8,explore,
102,,,1.0,,0.0717869094488188,0.023786909448818797,0.8,explore,
103,,,1.0,,0.2055014566929133,0.15750145669291332,0.4,explore,
104,,,1.0,,0.0695014566929133,0.0215014566929133,0.8,explore,
105,,,1.0,,0.53066388,0.48266388,0.2,explore,
106,,,1.0,,0.06478690944881879,0.01678690944881879,0.6,explore,
107,,,1.0,,0.0692869094488188,0.021286909448818794,0.6,explore,
108,,,1.0,,0.14900145669291331,0.10100145669291331,0.6,explore,
109,,,1.0,,0.06428690944881879,0.01628690944881879,0.6,explore,
110,,,1.0,,0.30316388,0.25516388,0.6,explore,
111,,,1.0,,0.31831823600000003,0.27031823600000005,0.6,explore,
112,,,1.0,,0.0745014566929133,0.026501456692913303,0.6,explore,
113,,,1.0,,0.0940802592592592,0.046080259259259196,0.6,explore,
114,,,1.0,,0.0665014566929133,0.018501456692913296,1.0,explore,
115,,,1.0,,0.9688091999999999,0.9208091999999999,0.4,explore,
116,,,1.0,,0.0885014566929133,0.0405014566929133,0.8,explore,
117,,,1.0,,0.1705014566929133,0.1225014566929133,0.4,explore,
118,,,1.0,,0.1250802592592592,0.0770802592592592,0.6,explore,
119,,,1.0,,0.1325802592592592,0.0845802592592592,0.8,explore,
120,,,1.0,,0.0867869094488188,0.038786909448818796,1.0,explore,
121,,,1.0,,0.059001456692913304,0.011001456692913303,0.4,explore,
122,,,1.0,,0.0597869094488188,0.0117869094488188,0.6,explore,
123,,,1.0,,0.2270802592592592,0.1790802592592592,0.4,explore,
124,,,1.0,,0.2270802592592592,0.1790802592592592,0.4,explore,
125,,,1.0,,0.1767869094488188,0.12878690944881882,0.6,explore,
126,,,1.0,,0.0587869094488188,0.010786909448818799,0.2,explore,
127,,,1.0,,0.3996829019607843,0.35168290196078433,0.6,explore,
128,,,1.0,,0.18208025925925922,0.1340802592592592,0.6,explore,
129,,,1.0,,0.0580014566929133,0.010001456692913302,0.6,explore,
130,,,1.0,,0.0635014566929133,0.015501456692913293,0.8,explore,
131,,,1.0,,1.0551829019607843,1.0071829019607843,0.6,explore,
132,,,1.0,,0.32281823600000004,0.27481823600000005,0.2,explore,
133,,,1.0,,0.25431661,0.20631661,0.6,explore,
134,,,1.0,,0.0560014566929133,0.0080014566929133,0.4,explore,
135,,,1.0,,0.1550802592592592,0.1070802592592592,0.4,explore,
136,,,1.0,,0.5717489901574803,0.5237489901574802,0.4,explore,
137,,,1.0,,0.07878690944881879,0.03078690944881879,0.6,explore,
138,,,1.0,,0.1145802592592592,0.0665802592592592,0.4,explore,
139,,,1.0,,0.26981661,0.22181661000000003,0.4,explore,
140,,,1.0,,0.0672869094488188,0.019286909448818793,0.8,explore,
141,,,1.0,,0.6128895846456691,0.5648895846456691,0.2,explore,
142,,,1.0,,0.7638091999999999,0.7158091999999998,0.2,explore,
143,,,1.0,,0.09058025925925921,0.04258025925925921,0.6,explore,
144,,,1.0,,0.1035802592592592,0.055580259259259204,0.8,explore,
145,,,1.0,,0.0950802592592592,0.0470802592592592,0.8,explore,
146,,,1.0,,0.0607869094488188,0.0127869094488188,0.4,explore,
147,,,1.0,,0.0790014566929133,0.031001456692913293,0.4,explore,
148,,,1.0,,0.0640014566929133,0.016001456692913293,1.0,explore,
149,,,1.0,,0.1015802592592592,0.0535802592592592,0.8,explore,
150,,,0.9982,,0.0765014566929133,0.028501456692913305,0.2,explore,
151,,,0.9982,,0.0720014566929133,0.0240014566929133,0.8,explore,
152,,,0.9982,,0.6087489901574802,0.5607489901574801,0.2,explore,
153,,,0.9982,,0.1150014566929133,0.0670014566929133,0.2,explore,
154,,,0.9982,,0.0640014566929133,0.016001456692913293,0.6,explore,
155,,,0.9982,,0.09628690944881879,0.04828690944881879,0.8,explore,
156,,,0.9982,,0.1520802592592592,0.10408025925925919,0.6,explore,
157,,,0.9982,,0.6016829019607842,0.5536829019607842,0.4,explore,
158,,,0.9982,,0.1010802592592592,0.0530802592592592,0.6,explore,
159,,,0.9982,,0.0765014566929133,0.028501456692913305,0.6,explore,
160,,,0.9982,,0.10578690944881879,0.057786909448818785,0.6,explore,
161,,,0.9982,,0.1245802592592592,0.0765802592592592,0.8,explore,
162,,,0.9982,,0.34831823600000006,0.30031823600000007,0.6,explore,
163,,,0.9982,,0.245818236,0.19781823599999998,0.4,explore,
164,,,0.9982,,0.6593895846456691,0.6113895846456691,0.2,explore,
165,,,0.9982,,0.39431661,0.34631661,0.4,explore,
166,,,0.9982,,0.30358025925925924,0.25558025925925926,0.6,explore,
167,,,0.9982,,0.0860014566929133,0.0380014566929133,0.4,explore,
168,,,0.9982,,0.1032869094488188,0.0552869094488188,0.2,explore,
169,,,0.9982,,0.8942489901574803,0.8462489901574802,0.6,explore,
170,,,0.9982,,0.2765802592592592,0.22858025925925923,0.4,explore,
171,,,0.9982,,0.09678690944881879,0.04878690944881879,0.6,explore,
172,,,0.9982,,0.06378690944881879,0.01578690944881879,0.8,explore,
173,,,0.9982,,0.059501456692913304,0.011501456692913303,0.8,explore,
174,,,0.9982,,0.1900802592592592,0.1420802592592592,0.4,explore,
175,,,0.9982,,0.0965802592592592,0.0485802592592592,1.0,explore,
176,,,0.9982,,0.2260014566929133,0.17800145669291328,0.4,explore,
177,,,0.9982,,0.1377869094488188,0.0897869094488188,0.4,explore,
178,,,0.9982,,0.1002869094488188,0.052286909448818794,0.6,explore,
179,,,0.9982,,0.1000802592592592,0.0520802592592592,0.4,explore,
180,,,0.9964,,0.1090802592592592,0.061080259259259195,0.8,explore,
181,,,0.9964,,0.0640014566929133,0.016001456692913293,1.0,explore,
182,,,0.9964,,0.2580802592592592,0.21008025925925922,0.6,explore,
183,,,0.9964,,0.0672869094488188,0.019286909448818793,0.8,explore,
184,,,0.9964,,0.07978690944881879,0.03178690944881879,0.4,explore,
185,,,0.9964,,0.0935802592592592,0.045580259259259195,0.6,explore,
186,,,0.9964,,0.15250145669291332,0.10450145669291332,0.4,explore,
187,,,0.9964,,0.061001456692913306,0.013001456692913305,0.4,explore,
188,,,0.9964,,0.8297489901574803,0.7817489901574802,0.2,explore,
189,,,0.9964,,0.1448091999999999,0.09680919999999989,0.2,explore,
190,,,0.9964,,0.417818236,0.369818236,0.6,explore,
191,,,0.9964,,0.68716388,0.6391638799999999,0.4,explore,
192,,,0.9964,,0.1105802592592592,0.0625802592592592,0.2,explore,
193,,,0.9964,,0.1355014566929133,0.0875014566929133,0.4,explore,
194,,,0.9964,,0.1015014566929133,0.0535014566929133,0.4,explore,
195,,,0.9964,,0.6558895846456692,0.6078895846456691,0.2,explore,
196,,,0.9964,,0.06578690944881879,0.01778690944881879,0.6,explore,
197,,,0.9964,,0.0700014566929133,0.0220014566929133,0.4,explore,
198,,,0.9964,,0.2102869094488188,0.1622869094488188,0.4,explore,
199,,,0.9964,,0.1035802592592592,0.055580259259259204,0.6,explore,
200,,,0.9964,,0.1030802592592592,0.055080259259259204,0.6,explore,
201,,,0.9964,,0.1285014566929133,0.0805014566929133,0.4,explore,
202,,,0.9964,,0.6411829019607843,0.5931829019607843,0.4,explore,
203,,,0.9964,,0.1380802592592592,0.09008025925925921,0.6,explore,
204,,,0.9964,,0.0965802592592592,0.0485802592592592,0.4,explore,
205,,,0.9964,,0.1640014566929133,0.1160014566929133,0.4,explore,
206,,,0.9964,,0.47881661000000003,0.43081661000000004,0.2,explore,
207,,,0.9964,,0.09100145669291329,0.04300145669291329,0.6,explore,
208,,,0.9964,,0.15828690944881882,0.11028690944881882,0.2,explore,
209,,,0.9964,,0.18578690944881882,0.13778690944881883,0.4,explore,
210,,,0.9945999999999999,,0.09008025925925921,0.042080259259259206,0.4,explore,
211,,,0.9945999999999999,,0.2092869094488188,0.1612869094488188,0.4,explore,
