request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.005500,0.019200,37.846680,47.828351
1,s,0.023128,0.005600,0.022000,44.675293,50.728351
2,s,0.023128,0.020000,0.018500,51.381348,61.628351
3,s,0.023128,0.071400,0.019200,58.018799,113.728351
8,p,0.003780,0.006750,0.020000,35.890381,30.529849
9,d,0.002385,0.016350,0.021500,46.352783,40.235393
10,s,0.023128,0.015900,0.020000,53.763184,59.028351
11,s,0.023128,0.058700,0.022000,60.885254,103.828351
4,s,0.023128,0.006150,0.022000,23.167236,51.278351
5,s,0.023128,0.007150,0.018500,30.792969,48.778351
6,d,0.002385,0.054550,0.021500,38.055664,78.435393
7,s,0.023128,0.107150,0.018500,44.917236,148.778351
12,p,0.003780,0.004150,0.022000,35.442627,29.929849
13,s,0.023128,0.006800,0.022000,45.770264,51.928351
14,s,0.023128,0.011750,0.022000,54.177246,56.878351
15,d,0.002385,0.112250,0.022000,62.912842,136.635393
16,d,0.002385,0.004550,0.018500,10.013428,25.435393
17,s,0.023128,0.004450,0.020000,16.732910,47.578351
18,d,0.002385,0.041950,0.020000,23.653076,64.335393
19,s,0.023128,0.136000,0.020000,30.347900,179.128351
20,s,0.023128,0.006000,0.019200,22.815918,48.328351
21,d,0.002385,0.010800,0.018500,31.510498,31.685393
22,p,0.003780,0.011100,0.018500,52.439697,33.379849
23,s,0.023128,0.040200,0.019200,62.577393,82.528351
24,p,0.003780,0.004500,0.021500,36.700928,29.779849
25,s,0.023128,0.025500,0.019200,45.717529,67.828351
26,p,0.003780,0.003800,0.022000,63.917969,29.579849
27,d,0.002385,0.004500,0.022000,73.196045,28.885393
28,p,0.003780,0.005150,0.020000,20.376953,28.929849
29,p,0.003780,0.017000,0.018500,41.562744,39.279849
30,s,0.023128,0.070650,0.021500,50.826904,115.278351
31,d,0.002385,0.003850,0.021500,58.128906,27.735393
36,p,0.003780,0.004550,0.022000,34.238037,30.329849
37,d,0.002385,0.011000,0.021500,43.658203,34.885393
38,p,0.003780,0.093350,0.022000,61.586914,119.129849
39,d,0.002385,0.005100,0.022000,70.844482,29.485393
32,d,0.002385,0.004850,0.020000,23.753662,27.235393
33,d,0.002385,0.015150,0.021500,31.767334,39.035393
34,s,0.023128,0.105550,0.022000,38.568359,150.678351
35,d,0.002385,0.119500,0.021500,45.509277,143.385393
40,p,0.003780,0.012450,0.021500,35.288086,37.729849
41,p,0.003780,0.018250,0.018500,55.465820,40.529849
42,p,0.003780,0.074300,0.022000,75.677734,100.079849
43,d,0.002385,0.004450,0.018500,85.328613,25.335393
44,p,0.003780,0.006050,0.022000,18.585693,31.829849
45,p,0.003780,0.013050,0.018500,39.071533,35.329849
46,s,0.023128,0.017700,0.021500,48.059814,62.328351
47,d,0.002385,0.033400,0.021500,55.178955,57.285393
48,d,0.002385,0.004600,0.018500,22.967529,25.485393
49,d,0.002385,0.019750,0.021500,30.918457,43.635393
50,s,0.023128,0.038450,0.019200,37.675781,80.778351
51,d,0.002385,0.153000,0.020000,44.636230,175.385393
52,s,0.023128,0.004600,0.018500,22.794678,46.228351
53,d,0.002385,0.008400,0.020000,30.700684,30.785393
54,d,0.002385,0.045800,0.020000,38.102295,68.185393
55,d,0.002385,0.040100,0.019200,45.477539,61.685393
60,s,0.023128,0.005350,0.022000,23.376953,50.478351
61,p,0.003780,0.018850,0.022000,42.463379,44.629849
62,s,0.023128,0.077550,0.021500,51.568604,122.178351
63,p,0.003780,0.112800,0.021500,69.641846,138.079849
56,d,0.002385,0.010900,0.018500,23.652832,31.785393
57,s,0.023128,0.017250,0.022000,31.092285,62.378351
58,s,0.023128,0.039300,0.019200,37.785645,81.628351
59,s,0.023128,0.045950,0.020000,44.613037,89.078351
64,d,0.002385,0.022500,0.018500,22.785889,43.385393
65,s,0.023128,0.008650,0.021500,30.083252,53.278351
66,d,0.002385,0.027000,0.021500,37.167480,50.885393
67,p,0.003780,0.100800,0.020000,55.400635,124.579849
68,d,0.002385,0.004250,0.022000,18.858887,28.635393
69,s,0.023128,0.005050,0.020000,27.442627,48.178351
70,p,0.003780,0.018750,0.018500,47.796387,41.029849
71,s,0.023128,0.006000,0.021500,57.648926,50.628351
72,s,0.023128,0.005100,0.020000,23.204346,48.228351
73,s,0.023128,0.011500,0.020000,30.803223,54.628351
74,p,0.003780,0.098500,0.019200,49.005615,121.479849
75,p,0.003780,0.015300,0.022000,69.239014,41.079849
