request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
0,s,0.023128,0.004500,0.019200,38.211182,46.828351
1,ss,0.018821,0.006200,0.020000,47.044189,45.020769
2,sss,0.019288,0.005000,0.018500,55.762695,42.788093
3,dsss,0.003039,0.005700,0.019200,65.625977,27.938978
4,d,0.002385,0.005750,0.021500,22.173828,29.635393
5,dd,0.002426,0.007600,0.019200,31.955322,29.225915
6,ddd,0.002493,0.007850,0.019200,41.248535,29.543417
7,sddd,0.017932,0.006550,0.022000,50.690918,46.481734
8,p,0.003780,0.010350,0.020000,35.622070,34.129849
9,dp,0.002464,0.012650,0.018500,51.253662,33.614344
10,pdp,0.002932,0.004700,0.018500,71.374023,26.131683
11,dp,0.002464,0.015600,0.018500,86.958740,36.564344
16,d,0.002385,0.004900,0.022000,23.444336,29.285393
17,pd,0.002977,0.006400,0.019200,44.573975,28.577001
18,dp,0.002464,0.004500,0.019200,60.391357,26.164344
19,sdp,0.018492,0.005500,0.021500,69.403076,45.491971
12,d,0.002385,0.004900,0.020000,23.265137,27.285393
13,pd,0.002977,0.004550,0.022000,44.583496,29.527001
14,dp,0.002464,0.005100,0.018500,60.164551,26.064344
15,sdp,0.018492,0.005000,0.020000,69.137451,43.491971
24,p,0.003780,0.005100,0.022000,34.674805,30.879849
25,sp,0.018754,0.008250,0.022000,50.261475,49.003690
26,ps,0.002840,0.005150,0.019200,70.671631,27.189786
27,sps,0.018360,0.006100,0.021500,86.501953,45.960251
28,p,0.003780,0.005150,0.021500,34.956055,30.429849
29,sp,0.018754,0.006050,0.022000,50.701172,46.803690
30,dsp,0.002685,0.006750,0.020000,59.905762,29.434513
31,dds,0.002685,0.004400,0.021500,69.278076,28.585273
20,s,0.023128,0.008750,0.019200,8.976807,51.078351
21,ds,0.002343,0.007850,0.021500,21.172607,31.692513
22,dds,0.002685,0.005700,0.019200,31.309570,27.585273
23,sdds,0.018154,0.006000,0.019200,41.021973,43.353743
32,p,0.003780,0.005200,0.020000,35.230957,28.979849
33,dp,0.002464,0.003950,0.020000,51.437500,26.414344
34,ddp,0.002502,0.004050,0.018500,60.578857,25.051712
35,sdd,0.018511,0.004900,0.020000,69.671875,43.410933
36,p,0.003780,0.005200,0.019200,20.809570,28.179849
37,sp,0.018754,0.007200,0.022000,36.204346,47.953690
38,ps,0.002840,0.004850,0.019200,56.339844,26.889786
39,sps,0.018360,0.004950,0.022000,72.036377,45.310251
40,p,0.003780,0.004800,0.018500,24.546387,27.079849
41,p,0.003780,0.004300,0.021500,53.206787,29.579849
42,sp,0.018754,0.004850,0.019200,69.521240,42.803690
43,dsp,0.002685,0.003400,0.020000,78.770020,26.084513
44,p,0.003780,0.006250,0.020000,35.146973,30.029849
45,pp,0.002838,0.010900,0.020000,62.023438,33.738325
46,sp,0.018754,0.006050,0.021500,77.809570,46.303690
47,dsp,0.002685,0.007200,0.019200,86.807861,29.084513
48,s,0.023128,0.004700,0.018500,22.763916,46.328351
49,ds,0.002343,0.004250,0.020000,32.686035,26.592513
50,pds,0.003022,0.005700,0.021500,53.458984,30.221933
51,pp,0.002838,0.003900,0.019200,82.538086,25.938325
56,d,0.002385,0.004500,0.022000,9.483643,28.885393
57,dd,0.002426,0.011150,0.018500,18.593018,32.075915
