episode,step,reward
20,11,0.114218
20,12,0.058382
20,13,0.071356
20,14,0.081914
20,15,0.140823
21,1,0.031838
21,2,0.075951
21,3,0.052479
21,4,0.072785
21,5,0.091377
21,6,0.106571
21,7,0.158042
21,8,0.126793
21,9,0.056910
21,10,0.110386
21,11,0.167831
21,12,0.091809
21,13,0.106696
21,14,0.148129
21,15,0.180209
22,1,0.031838
22,2,0.174994
22,3,0.094768
22,4,0.130001
22,5,0.054912
22,6,0.105931
22,7,0.205795
22,8,0.049620
22,9,0.073083
22,10,0.113953
22,11,0.031838
22,12,0.103588
22,13,0.148669
22,14,0.057898
22,15,0.132970
23,1,0.116367
23,2,0.041615
23,3,0.086584
23,4,0.107983
23,5,0.143436
23,6,0.031838
23,7,0.057488
23,8,0.028837
23,9,0.041615
23,10,0.078790
23,11,0.057429
23,12,0.107149
23,13,0.160960
23,14,0.088126
23,15,0.200856
24,1,0.086656
24,2,0.150580
24,3,0.083671
24,4,0.071114
24,5,0.087937
24,6,0.119364
24,7,0.060682
24,8,0.075974
24,9,0.165604
24,10,0.162396
24,11,0.163360
24,12,0.208005
24,13,0.117291
24,14,0.102644
24,15,0.203054
25,1,0.098404
25,2,0.114359
25,3,0.068184
25,4,0.017813
25,5,0.151377
25,6,0.105931
25,7,0.051465
25,8,0.205795
25,9,0.036839
25,10,0.159893
25,11,0.099043
25,12,0.075421
25,13,0.093444
25,14,0.109282
25,15,0.030702
26,1,0.108952
26,2,0.059060
26,3,0.100337
26,4,0.091576
26,5,0.148880
26,6,0.060757
26,7,0.134653
26,8,0.060777
26,9,0.098649
26,10,0.076128
26,11,0.041615
26,12,0.104623
26,13,0.065808
26,14,0.092832
26,15,0.098175
27,1,0.041615
27,2,0.064956
27,3,0.148540
27,4,0.086321
27,5,0.077962
27,6,0.164943
27,7,0.156351
27,8,0.114522
27,9,0.211106
27,10,0.104916
27,11,0.114066
27,12,0.055231
27,13,0.139783
27,14,0.041334
27,15,0.183246
28,1,0.114218
28,2,0.109847
28,3,0.026836
28,4,0.079062
28,5,0.114520
28,6,0.074782
28,7,0.052479
28,8,0.064956
28,9,0.114072
28,10,0.183873
28,11,0.031838
28,12,0.143448
28,13,0.135562
28,14,0.084729
28,15,0.128171
29,1,0.064317
29,2,0.108336
29,3,0.072631
29,4,0.063158
29,5,0.086700
29,6,0.090757
29,7,0.133542
29,8,0.158070
29,9,0.122498
29,10,0.198685
29,11,0.007528
29,12,0.147413
29,13,0.069901
29,14,0.017292
29,15,0.148215
30,1,0.116367
30,2,0.094267
30,3,0.045745
30,4,0.039434
30,5,0.085571
30,6,0.114218
30,7,0.159800
30,8,0.079782
30,9,0.013417
30,10,0.105196
30,11,0.076420
30,12,0.068728
30,13,0.079876
30,14,0.137820
30,15,0.115733
31,1,0.165226
31,2,0.089064
31,3,0.065299
31,4,0.073566
31,5,0.105098
31,6,0.064902
31,7,0.106696
31,8,0.247173
31,9,0.073758
31,10,0.155379
31,11,0.041615
31,12,0.143536
31,13,0.084407
31,14,0.110580
31,15,0.135803
32,1,0.114218
32,2,0.056871
32,3,0.073605
32,4,0.202783
32,5,0.138980
32,6,0.045863
32,7,0.129423
32,8,0.123641
32,9,0.097438
32,10,0.077526
32,11,0.165531
32,12,0.114976
32,13,0.071644
32,14,0.120237
32,15,0.041615
33,1,0.049142
33,2,0.014025
33,3,0.010059
33,4,0.011379
33,5,0.133388
33,6,0.108952
33,7,0.064902
33,8,0.141250
33,9,0.181535
33,10,0.089801
33,11,0.074782
33,12,0.017813
33,13,0.084461
33,14,0.012810
33,15,0.135495
34,1,0.114218
34,2,0.114058
34,3,0.118547
34,4,0.107951
34,5,0.107940
34,6,0.055685
34,7,0.067807
34,8,0.058607
34,9,0.057794
34,10,0.138344
34,11,0.119364
34,12,0.014025
34,13,0.172304
34,14,0.107484
34,15,0.136163
35,1,0.165226
35,2,0.053828
35,3,0.069901
35,4,0.111300
35,5,0.073564
35,6,0.007528
35,7,0.155452
35,8,0.115832
35,9,0.090595
35,10,0.085168
35,11,0.104469
35,12,0.113359
35,13,0.115992
35,14,0.042935
35,15,0.075563
36,1,0.118170
36,2,0.133842
36,3,0.010059
36,4,0.053531
36,5,0.090413
36,6,0.055685
36,7,0.041615
36,8,0.075421
36,9,0.161047
36,10,0.147403
36,11,0.104469
36,12,0.113479
36,13,0.030027
36,14,0.058462
36,15,0.100177
37,1,0.045863
37,2,0.113172
37,3,0.063842
37,4,0.052920
37,5,0.099636
37,6,0.108952
37,7,0.114810
37,8,0.070149
37,9,0.107294
37,10,0.138811
37,11,0.225319
37,12,0.079405
37,13,0.015166
37,14,0.070374
37,15,0.146577
38,1,0.099043
38,2,0.123955
38,3,0.094652
38,4,0.056409
38,5,0.114761
38,6,0.118170
38,7,0.113266
38,8,0.041615
38,9,0.125360
38,10,0.017222
38,11,0.140658
38,12,0.128457
38,13,0.133091
38,14,0.093393
38,15,0.112165
39,1,0.009217
39,2,0.072631
39,3,0.157441
39,4,0.044671
39,5,0.103863
39,6,0.114218
39,7,0.041615
39,8,0.058152
39,9,0.049142
39,10,0.073758
39,11,0.078570
39,12,0.214254
39,13,0.093444
39,14,0.037522
39,15,0.014025
40,1,0.074782
40,2,0.117435
40,3,0.161943
40,4,0.154339
40,5,0.091898
40,6,0.074782
40,7,0.130255
40,8,0.066576
40,9,0.162922
40,10,0.034321
40,11,0.169635
40,12,0.185203
40,13,0.200427
40,14,0.176527
40,15,0.183956
41,1,0.064902
41,2,0.057429
41,3,0.059580
41,4,0.073821
41,5,0.054737
41,6,0.216102
41,7,0.112843
41,8,0.138847
41,9,0.147950
41,10,0.068501
41,11,0.105931
41,12,0.247410
41,13,0.014178
41,14,0.162496
41,15,0.079577
42,1,0.107149
42,2,0.057429
42,3,0.131176
42,4,0.137093
42,5,0.110559
42,6,0.049142
42,7,0.111254
42,8,0.094428
42,9,0.133442
42,10,0.187491
42,11,0.076420
42,12,0.136731
42,13,0.106913
42,14,0.094632
42,15,0.125667
43,1,0.092595
43,2,0.157416
43,3,0.068655
43,4,0.027579
43,5,0.083202
43,6,0.049142
43,7,0.060757
43,8,0.054434
43,9,0.084877
43,10,0.106828
43,11,0.045863
43,12,0.129423
43,13,0.169101
43,14,0.082330
43,15,0.178274
44,1,0.121745
44,2,0.109847
44,3,0.134862
44,4,0.035484
44,5,0.090913
44,6,0.009217
44,7,0.057429
44,8,0.197604
44,9,0.104452
44,10,0.056789
44,11,0.216102
44,12,0.101321
44,13,0.053831
44,14,0.058021
44,15,0.122561
45,1,0.197447
45,2,0.009217
45,3,0.188026
45,4,0.111692
45,5,0.183261
45,6,0.099043
45,7,0.148540
45,8,0.058233
45,9,0.123202
45,10,0.117476
45,11,0.088806
45,12,0.168990
45,13,0.012836
45,14,0.064483
45,15,0.091903
46,1,0.121745
46,2,0.073605
46,3,0.083881
46,4,0.155222
46,5,0.012836
46,6,0.155832
46,7,0.153940
46,8,0.036839
46,9,0.015166
46,10,0.032389
46,11,0.216102
46,12,0.093794
46,13,0.130705
46,14,0.063053
46,15,0.071284
47,1,0.155832
47,2,0.141100
47,3,0.030844
47,4,0.056469
47,5,0.080765
47,6,0.057488
47,7,0.114810
47,8,0.157780
47,9,0.031838
47,10,0.057286
47,11,0.158614
47,12,0.101321
47,13,0.159034
47,14,0.244569
47,15,0.141652
48,1,0.112147
48,2,0.132175
48,3,0.034321
48,4,0.028837
48,5,0.141680
48,6,0.116367
48,7,0.012811
48,8,0.111018
48,9,0.109751
48,10,0.168652
48,11,0.118170
48,12,0.111112
48,13,0.107547
48,14,0.114923
48,15,0.109363
49,1,0.116367
49,2,0.154392
49,3,0.072962
49,4,0.021729
49,5,0.081792
49,6,0.041615
49,7,0.093874
49,8,0.043801
49,9,0.160007
49,10,0.031838
49,11,0.076420
49,12,0.122707
49,13,0.142596
49,14,0.165355
49,15,0.146623
50,1,0.057429
50,2,0.152175
50,3,0.191614
50,4,0.032541
50,5,0.068916
50,6,0.155832
50,7,0.067166
50,8,0.036386
50,9,0.195393
50,10,0.056469
50,11,0.031838
50,12,0.017263
50,13,0.101663
50,14,0.192837
50,15,0.138641
51,1,0.105931
51,2,0.033806
51,3,0.127109
51,4,0.113083
51,5,0.104662
51,6,0.197447
51,7,0.009217
51,8,0.088543
51,9,0.169803
51,10,0.203644
51,11,0.074782
51,12,0.143347
51,13,0.165086
51,14,0.099934
51,15,0.079827
52,1,0.076420
52,2,0.014025
52,3,0.132766
52,4,0.105293
52,5,0.017265
52,6,0.007528
52,7,0.212241
52,8,0.191253
52,9,0.054478
52,10,0.014178
52,11,0.116367
52,12,0.135882
52,13,0.150399
52,14,0.111796
52,15,0.093191
53,1,0.106620
53,2,0.054434
53,3,0.058607
53,4,0.019162
53,5,0.143468
53,6,0.009217
53,7,0.074782
53,8,0.111018
53,9,0.163272
53,10,0.108592
53,11,0.041615
53,12,0.132210
53,13,0.041334
53,14,0.162492
53,15,0.018929
54,1,0.051465
54,2,0.095003
54,3,0.147493
54,4,0.104995
54,5,0.093794
54,6,0.049142
54,7,0.119364
54,8,0.075974
54,9,0.028837
54,10,0.113801
54,11,0.216102
54,12,0.089685
54,13,0.125663
54,14,0.103079
54,15,0.171813
55,1,0.041615
55,2,0.107149
55,3,0.034321
55,4,0.098019
55,5,0.034368
55,6,0.108952
55,7,0.113266
55,8,0.065496
55,9,0.051465
55,10,0.083219
55,11,0.216102
55,12,0.009217
55,13,0.056955
55,14,0.051465
55,15,0.091576
56,1,0.147413
56,2,0.059037
56,3,0.087608
56,4,0.113604
56,5,0.152294
56,6,0.014025
56,7,0.164637
56,8,0.075347
56,9,0.059060
56,10,0.146332
56,11,0.216102
56,12,0.143468
56,13,0.071284
56,14,0.151903
56,15,0.157160
57,1,0.147546
57,2,0.091234
57,3,0.030844
57,4,0.144759
57,5,0.100902
57,6,0.147413
57,7,0.135200
57,8,0.076204
57,9,0.124890
57,10,0.087397
57,11,0.105931
57,12,0.082680
57,13,0.136071
57,14,0.012228
57,15,0.130753
58,1,0.147413
58,2,0.037932
58,3,0.135562
58,4,0.139213
58,5,0.017265
58,6,0.133388
58,7,0.103576
58,8,0.076128
58,9,0.089239
58,10,0.128913
58,11,0.064317
58,12,0.082527
58,13,0.057674
58,14,0.057488
58,15,0.036839
59,1,0.060757
59,2,0.153477
59,3,0.101253
59,4,0.146803
59,5,0.109207
59,6,0.165975
59,7,0.087852
59,8,0.143671
59,9,0.091198
59,10,0.193941
59,11,0.045863
59,12,0.068666
59,13,0.088073
59,14,0.072484
59,15,0.150293
60,1,0.009217
60,2,0.088806
60,3,0.010865
60,4,0.107358
60,5,0.080699
60,6,0.031838
60,7,0.109268
60,8,0.036386
60,9,0.173445
60,10,0.034360
60,11,0.133388
60,12,0.079763
60,13,0.017263
60,14,0.155416
60,15,0.096227
61,1,0.060682
61,2,0.096351
61,3,0.017959
61,4,0.017831
61,5,0.178184
61,6,0.197447
61,7,0.091958
61,8,0.094059
61,9,0.069174
61,10,0.034398
61,11,0.137177
61,12,0.134207
61,13,0.127266
61,14,0.071469
61,15,0.128589
62,1,0.060682
62,2,0.071418
62,3,0.059037
62,4,0.073760
62,5,0.055685
62,6,0.092595
62,7,0.014025
62,8,0.095991
62,9,0.123001
62,10,0.141156
62,11,0.216408
62,12,0.156279
62,13,0.013408
62,14,0.086673
62,15,0.061023
63,1,0.147413
63,2,0.028837
63,3,0.038055
63,4,0.034896
63,5,0.118126
63,6,0.147413
63,7,0.069901
63,8,0.076026
63,9,0.111021
63,10,0.046354
63,11,0.147413
63,12,0.077429
63,13,0.125693
63,14,0.069469
63,15,0.103055
64,1,0.057488
64,2,0.112147
64,3,0.113266
64,4,0.139679
64,5,0.163249
64,6,0.051465
64,7,0.076420
64,8,0.199265
64,9,0.093794
64,10,0.141659
64,11,0.057488
64,12,0.116367
64,13,0.147134
64,14,0.192975
64,15,0.135682
65,1,0.106571
65,2,0.056409
65,3,0.206427
65,4,0.126639
65,5,0.116296
65,6,0.197447
65,7,0.188026
65,8,0.070143
65,9,0.137831
65,10,0.085149
65,11,0.151202
65,12,0.051465
65,13,0.072009
65,14,0.103946
65,15,0.159124
66,1,0.112147
66,2,0.185843
66,3,0.206821
66,4,0.094006
66,5,0.175726
66,6,0.106620
66,7,0.010059
66,8,0.067599
66,9,0.124937
66,10,0.141255
66,11,0.031838
66,12,0.051465
66,13,0.012811
66,14,0.010059
66,15,0.070206
67,1,0.137177
67,2,0.120192
67,3,0.017141
67,4,0.114679
67,5,0.017786
67,6,0.151202
67,7,0.075974
67,8,0.112074
67,9,0.156988
67,10,0.137583
67,11,0.155832
67,12,0.028203
67,13,0.096436
67,14,0.092228
67,15,0.085708
68,1,0.197447
68,2,0.028356
68,3,0.071643
68,4,0.010059
68,5,0.088189
68,6,0.114218
68,7,0.142867
68,8,0.112614
68,9,0.095620
68,10,0.047931
68,11,0.164637
68,12,0.157492
68,13,0.100785
68,14,0.065730
68,15,0.019729
69,1,0.057429
69,2,0.119064
69,3,0.015166
69,4,0.055685
69,5,0.215975
69,6,0.122484
69,7,0.041615
69,8,0.043369
69,9,0.063842
69,10,0.027333
69,11,0.164637
69,12,0.106696
69,13,0.144002
69,14,0.193570
69,15,0.122894
70,1,0.160417
70,2,0.181908
70,3,0.188601
70,4,0.110214
70,5,0.079607
70,6,0.078570
70,7,0.162780
70,8,0.114022
70,9,0.118582
70,10,0.165043
70,11,0.133388
70,12,0.093788
70,13,0.135530
70,14,0.122761
70,15,0.063334
71,1,0.092595
71,2,0.140924
71,3,0.137106
71,4,0.012810
71,5,0.131691
71,6,0.105931
71,7,0.072785
71,8,0.147651
71,9,0.141534
71,10,0.070097
71,11,0.099043
71,12,0.155450
71,13,0.070143
71,14,0.131995
71,15,0.109171
72,1,0.140658
72,2,0.031991
72,3,0.090957
72,4,0.059797
72,5,0.153478
72,6,0.051465
72,7,0.073568
72,8,0.162085
72,9,0.141624
